factor,beta,se,lo,hi,p_value,mean_factor,mean_contribution,panel,ticker,model
MOM,-0.5305986455296594,0.2253037193424409,-0.9721858210237639,-0.08901147003555493,0.018520850336365483,0.0011511811023622047,-0.000610815133672726,long,ATI,M2_nominal
SEMIS,0.32400035218568707,0.1413587453933202,0.04694230231501223,0.6010584020563619,0.021903150047972674,0.025186599892987525,0.008160467235687946,long,ATI,M2_nominal
DEFENSE,1.5536624353195045,0.22414057583648442,1.1143549792059264,1.9929698914330827,4.159808978408896e-12,0.011980282550897711,0.018613314963843504,long,ATI,M2_nominal
D_NOMINAL,0.05338067270048763,0.040388784069620785,-0.025779889455334187,0.13254123485630945,0.18627782788870273,0.019496061670498586,0.0010407128869814072,long,ATI,M2_nominal
const,0.010182145042576371,0.006899911433359506,-0.0033414328633244016,0.023705722948477143,0.1400265579817508,1.0,0.010182145042576371,long,MTRN,M1_nominal
MKT,1.1273896540599597,0.22086546704968646,0.6945012932139563,1.5602780149059632,3.3181420413339563e-07,0.01081732283464567,0.012195337848406084,long,MTRN,M1_nominal
SMB,1.6470553511040777,0.3153836979455432,1.028914661819754,2.2651960403884015,1.7663247203007825e-07,-0.0014102362204724413,-0.0023227371132499243,long,MTRN,M1_nominal
HML,0.639468727289979,0.20509568715634555,0.23748856707904764,1.0414488875009105,0.001821419290731844,0.0005496062992125979,0.0003514560406680354,long,MTRN,M1_nominal
MOM,0.7056314490034177,0.3152690669090827,0.08771543242206703,1.3235474655847683,0.02520879648817077,0.0011511811023622047,0.0008123095893251942,long,MTRN,M1_nominal
D_NOMINAL,-0.010840011309385798,0.029544524449939363,-0.06874621517163,0.047066192552858405,0.7136904481321138,0.019496061670498586,-0.00021133752899668765,long,MTRN,M1_nominal
const,0.012085400555669529,0.007663958912383581,-0.0029356828915970534,0.02710648400293611,0.11481542128802216,1.0,0.012085400555669529,long,ENTG,M1_nominal
MKT,1.1745185576590975,0.16332493267019252,0.854407571848091,1.494629543470104,6.417738027677229e-13,0.01081732283464567,0.012705146413480852,long,ENTG,M1_nominal
SMB,1.0123504997822934,0.4409483133172885,0.14810768663672447,1.8765933129278625,0.021684548337972474,-0.0014102362204724413,-0.0014276533426063685,long,ENTG,M1_nominal
HML,0.02216996301222987,0.3634590630391816,-0.6901967103992391,0.7345366364236988,0.951361487511089,0.0005496062992125979,1.2184751324831838e-05,long,ENTG,M1_nominal
MOM,0.27071160260859156,0.41220450409746884,-0.5371943796876404,1.0786175849048236,0.5113474599101866,0.0011511811023622047,0.0003116380811131975,long,ENTG,M1_nominal
D_NOMINAL,-0.06514455325604358,0.04299166884424603,-0.14940667582603853,0.019117569313951366,0.12970070261472813,0.019496061670498586,-0.0012700622277769052,long,ENTG,M1_nominal
