n,parameters,start,end,mean_excess,alpha,alpha_lo,alpha_hi,alpha_p,r2,adjusted_r2,total_variance,fitted_variance,residual_variance,residual_share,residual_volatility,residual_mse,condition_scaled,mean_residual,mean_identity_error,variance_identity_error,bootstrap_valid,alpha_boot_lo,alpha_boot_hi,residual_var_boot_lo,residual_var_boot_hi,residual_vol_boot_lo,residual_vol_boot_hi,r2_boot_lo,r2_boot_hi,panel,ticker,model
127,7,2016-01-31,2026-07-31,0.021007173878729066,0.01046341522655487,-0.003158947763903023,0.024085778217012764,0.13220595868366966,0.4259020086092019,0.397197109039662,0.01320893558628747,0.005625712197789409,0.0075832233884980706,0.5740979913907981,0.08708170524569481,0.007962384557922975,2.598264325688887,-4.609173934910345e-16,4.544975507059235e-16,9.540979117872439e-18,2000,-0.0027271884033497527,0.025491239903828844,0.004405274411834741,0.009720050908538308,0.06637224126500957,0.09859031305716337,0.28228574969118203,0.5864528528065784,long,MTRN,FF5_MOM
127,7,2016-01-31,2026-07-31,0.022416654231205126,0.012368415556330553,-0.0035756797237497372,0.028312510836410842,0.12840659013559666,0.36009971142433284,0.32810469699554945,0.013444990240475446,0.004841537105698187,0.008603453134777266,0.6399002885756672,0.09275480114138171,0.009033625791516129,2.598264325688887,-4.528311234297882e-16,4.544975507059235e-16,6.938893903907228e-18,2000,-0.0035650368102099887,0.029752343678437848,0.004794363728093122,0.011114287632394932,0.06924134255426118,0.10542432182274866,0.25009476957709703,0.5419696294731816,long,ENTG,FF5_MOM
127,7,2016-01-31,2026-07-31,0.03240490893289445,0.02068503401654357,0.0012131756082215117,0.04015689242486563,0.03733537532767922,0.4621721107448329,0.43528071628207454,0.020511313959700263,0.00947975726690464,0.011031556692795638,0.5378278892551672,0.10503121770595464,0.01158313452743542,2.598264325688887,-7.415328194002276e-16,7.424616477180734e-16,1.5612511283791264e-17,2000,0.00017724487824117164,0.0400028202105211,0.007847715850878617,0.012929271380467455,0.08858733448823475,0.113706953671213,0.30869240872137915,0.6354065059120972,long,CRS,FF5_MOM
127,7,2016-01-31,2026-07-31,0.03233161524309762,0.0237621828105772,0.003854735770290548,0.04366962985086385,0.019310739723039105,0.3647248255097276,0.332961066785214,0.023974443092406095,0.008744074573570721,0.015230368518835387,0.6352751744902724,0.1234113792113004,0.015991886944777156,2.598264325688887,-7.026313039704485e-16,7.008282842946301e-16,1.3877787807814457e-17,2000,0.002623637743650798,0.044482399965714514,0.01028188233762447,0.01872052874914346,0.10139961543348118,0.13682298318996874,0.2552860064706475,0.5197155082749707,long,ATI,FF5_MOM
67,2,2021-01-31,2026-07-31,0.022204754161405233,0.012762238940781743,-0.010284721040124657,0.03580919892168814,0.277776068738244,0.1629553966421562,0.15007778735972788,0.013519974508180415,0.002203152808572381,0.011316821699608036,0.8370446033578439,0.1063805513221662,0.011490926648832774,1.0,8.285246452426541e-19,3.469446951953614e-18,1.734723475976807e-18,2000,-0.009786859170832735,0.03972406642146136,0.005253238185302207,0.01571667316049563,0.07247922475751734,0.1253661556544737,0.04309018781845195,0.39765255823993256,recent,MTRN,M0
67,2,2021-01-31,2026-07-31,0.008946189910006123,-0.0033337919406032164,-0.026606266097352088,0.019938682216145656,0.7788901251648269,0.2185232968580062,0.2065005783481294,0.017051670783096926,0.0037261873164596824,0.013325483466637242,0.7814767031419936,0.11543605791362264,0.01353049090458551,1.0,0.0,0.0,1.734723475976807e-18,2000,-0.02470904339200721,0.02537332009071142,0.005174713456253626,0.019986968984287784,0.07193548113724284,0.14137527378044604,0.08478782382256263,0.5010630024576559,recent,ENTG,M0
67,2,2021-01-31,2026-07-31,0.05191640287038967,0.0410010705288768,0.012831951438172003,0.06917018961958159,0.004333705472388805,0.14329232707691975,0.1301122090319493,0.020545666024164584,0.002944036295947751,0.017601629728216835,0.8567076729230803,0.13267113374135625,0.017872424031727865,1.0,-1.3670656646503793e-17,0.0,0.0,2000,0.010182061796504013,0.06816930451637684,0.012309834736098408,0.021531281641979726,0.1109496945897881,0.14673541364501794,0.028118361026779396,0.33276535285725684,recent,CRS,M0
67,2,2021-01-31,2026-07-31,0.042285147236269,0.03313911075636513,0.001279729789406804,0.06499849172332345,0.04148078151721552,0.11369590207563307,0.10006045441525824,0.018179849353476153,0.0020669743718425915,0.016112874981633562,0.8863040979243667,0.126936499800623,0.016360765365966392,1.0,-1.0149426904222513e-17,6.938893903907228e-18,0.0,2000,8.40063977272056e-05,0.06498197697872993,0.010059261583421615,0.022405726795212133,0.10029586895712911,0.14968542469445836,0.012892826555183782,0.29432380818003967,recent,ATI,M0
67,5,2021-01-31,2026-07-31,0.022204754161405233,0.013322172264959548,-0.01179969279395282,0.038444037323871916,0.2986314888514533,0.41220646950095874,0.37428430624295606,0.013519974508180415,0.005573020959760008,0.00794695354842041,0.5877935304990416,0.08914568721155505,0.008459660228963658,1.4163261061327186,-1.675691095003268e-15,1.6757428777935957e-15,3.469446951953614e-18,2000,-0.00852111236799661,0.043622939457338014,0.0033636004974528988,0.010850531763519078,0.05799655469129764,0.10416588568513488,0.21435001370964565,0.6214174726884745,recent,MTRN,M1
67,5,2021-01-31,2026-07-31,0.008946189910006123,0.0027542261072859846,-0.027194802875671848,0.03270325509024382,0.8569596750973978,0.29808166730220165,0.25279661357976313,0.017051670783096926,0.005082790457313764,0.011968880325783155,0.7019183326977984,0.10940237806274211,0.012741066153253036,1.4163261061327186,-3.3820376018805143e-15,3.3775066077268434e-15,6.938893903907228e-18,2000,-0.023168547722345372,0.03888794871187875,0.004508275965531381,0.016023862458969848,0.0671436865163802,0.12658539577725134,0.19252227378387465,0.5729875383980132,recent,ENTG,M1
