path,sha256,bytes
MTRN/experiments/historical_attribution/sources/ELMT_financing_8K.html,94993d9345f0b881f02cf2dabc64689545a0dfea9c812203c3cf5d49dd0ebb68,174480
MTRN/experiments/historical_attribution/sources/ELMT_history.html,668480bf3daa9f6cee5729907099e67286e1541df68588df66d8758179ca64f4,116861
MTRN/experiments/historical_attribution/sources/ITA.html,08b4f295efa0ac23aef2c529277964f7ec93ee52222166d684cd30d03c5744e1,1680587
MTRN/experiments/historical_attribution/sources/SOXX.html,c4ae5187a571225ed6d5ebed533a0df8cccc8135b62438adcbd01ced206e6c96,1699639
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-21-000940.html,8233e90662a75c193aa039cec24d0e294d7634d5638698546089f672ef5fd32b,44144
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-21-000940_release.html,ceae1ed6001208043c4b15458150688faf8d19ee6867f1c7e7f5f26b567735e8,550052
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-21-008035.html,b08ee21ff5f6dbd7ccb93a2a60d45a874d84e4e7db2ea73449501eba2712cab8,44993
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-21-008035_release.html,93847cde26e721d838d474786dac4a6361328984102aae35fafebf05aad22296,381561
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-21-015240.html,4556b1e8a5418a7622f4dbd40cd9bf402b3c10682eb08d72ecc5e3f45db69e04,44592
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-21-015240_release.html,1ff0a25bf665fc72f7fc0bf48e07c8ec62436a65fd7b6eb62c68391ef05e4760,537108
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-21-020694.html,f3a2b1ba99382f2586ae5094280ad0118bdbcc7b634fd9e76d38492fe7837fd0,45076
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-21-020694_release.html,c2f4125018c1324ce74bc2d4e5f006eda050c37dc503b6eaa9757639975008bc,546214
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-22-001628.html,4e16034975a6b188a1e2739975420c9861819d358afe37f70673e808918a0867,46453
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-22-001628_release.html,162ba6047ba4c5cd1365929cf4e3ada6fe74a71c7217ca902a415c1d11537255,651716
MTRN/experiments/historical_attribution/sources/earnings/ATI_0001628280-22-012142.html,bfa24bd0ff21ce6e77ae279f6b5cbb8c7978ccd5342166268b46c856af770d48,44042
