peer,n,start,end,mean_difference,mean_diff_lo,mean_diff_hi,variance_ratio,variance_ratio_lo,variance_ratio_hi,volatility_ratio,vol_ratio_lo,vol_ratio_hi,panel,frequency,basis
CRS,102,2026-04-24,2026-09-18,0.004257514969851895,-0.002999376791605102,0.012066135969571163,3.1077082335083395,1.3774619292319594,6.010223301838935,1.7628693183297335,1.1736532406260205,2.4515756773632207,matched,daily,total
ATI,102,2026-04-24,2026-09-18,0.0016869721188811468,-0.004726695132091483,0.007424661477688177,3.0694752407790866,1.3940658240489128,6.0191871076977765,1.7519917924405601,1.1807056466575032,2.453403168600256,matched,daily,total
ELMT,102,2026-04-24,2026-09-18,-0.00039527838992379095,-0.00962113492862407,0.010681155242453992,0.49958488131213497,0.17886034203061282,1.6687233408189475,0.7068131869964899,0.4229188362211038,1.2917907496258625,matched,daily,total
ENTG,68,2026-04-24,2026-07-31,0.004733978654417821,-0.0007781302215551187,0.012143254524147,0.5284000187098357,0.25998592698634393,0.8067715357882611,0.7269112866848579,0.5098881514472992,0.8982046179953993,matched,daily,excess
CRS,68,2026-04-24,2026-07-31,-0.00048608870074950527,-0.007157751461447997,0.005559507819835559,1.8641013803685929,1.1200284075735158,2.2490218442056125,1.365320980710614,1.058313945657675,1.499673912624212,matched,daily,excess
ATI,68,2026-04-24,2026-07-31,-0.00042764433438886645,-0.006100150278504258,0.007084293178160239,2.0418934355641336,1.1017652847989932,2.5801226754149837,1.4289483670042573,1.0496500773110022,1.6062760271556642,matched,daily,excess
ELMT,68,2026-04-24,2026-07-31,0.004774507402521924,-0.0080414351235363,0.013883003394271036,0.4068361230789812,0.1304356185789476,0.7807753648719962,0.6378370662473146,0.36115871660386045,0.8836149415169462,matched,daily,excess
ENTG,21,2026-05-01,2026-09-18,0.018681700623248598,-0.0034913489118248184,0.0361449333856802,0.9835121537335207,0.23352148837914502,1.758709000032117,0.9917218126740587,0.4832406112684912,1.326163262962791,matched,weekly,total
CRS,21,2026-05-01,2026-09-18,0.01935550618854601,-0.014614343333930352,0.03867396139474621,2.2653701547757663,0.763579758435544,4.826044911676601,1.5051146649925933,0.8738305089864647,2.196826099552853,matched,weekly,total
ATI,21,2026-05-01,2026-09-18,0.007202974361157823,-0.019648549432081077,0.01754855529648205,2.5591617795135417,1.2022276486436627,3.2906366507562845,1.5997380346524057,1.0964614214114707,1.81401120469425,matched,weekly,total
ELMT,21,2026-05-01,2026-09-18,-0.0021300459874300584,-0.034498184262028615,0.03606204553998633,0.6735312607696862,0.27672108520940275,2.445289589487059,0.8206895032652033,0.5260428549171662,1.5637421748763634,matched,weekly,total
ENTG,127,2016-01-31,2026-07-31,-0.001409480352476053,-0.02041334647803949,0.016387139833106513,0.9837450265252716,0.6401892652422958,1.4876899408446784,0.9918392140489665,0.8001182820322854,1.2197089574339768,long,monthly,total
CRS,127,2016-01-31,2026-07-31,-0.01139773505416538,-0.03496950624830816,0.01343143975784443,0.6411566132745045,0.40883422428943,0.8848028338920165,0.8007225569911869,0.639401457841183,0.9406395876700153,long,monthly,total
ATI,127,2016-01-31,2026-07-31,-0.011324441364368554,-0.03382620588010811,0.015545283984896761,0.5501872993875385,0.35423144492596964,0.7598439673534854,0.7417461151819661,0.5951734578473487,0.8716902932541382,long,monthly,total
ENTG,127,2016-01-31,2026-07-31,-0.00140948035247606,-0.020413346478039458,0.016387139833106523,0.9824429285580777,0.6400926363352853,1.4841861840873884,0.9911825909276644,0.8000578956146145,1.2182718022212402,long,monthly,excess
CRS,127,2016-01-31,2026-07-31,-0.011397735054165387,-0.0349695062483082,0.013431439757844412,0.6439829068113243,0.41278321456840517,0.8894225953481787,0.8024854558254151,0.6424820733440001,0.9430920397014168,long,monthly,excess
ATI,127,2016-01-31,2026-07-31,-0.011324441364368554,-0.033826205880108096,0.015545283984896742,0.5509590164566284,0.3536361249194871,0.7623909287503227,0.7422661358681456,0.5946731244301251,0.8731500035791804,long,monthly,excess
ENTG,67,2021-01-31,2026-07-31,0.013258564251399109,-0.012480918602900818,0.03622823446096268,0.7923516615330461,0.4428573711738167,1.2625158756712849,0.8901413716556748,0.6654752971927783,1.1236173172710027,recent,monthly,total
CRS,67,2021-01-31,2026-07-31,-0.029711648708984444,-0.06507777913842211,0.009028410954476259,0.6550673294085373,0.3484156599223299,0.9509630420699204,0.8093622979905459,0.5902674477915328,0.975173339499148,recent,monthly,total
ATI,67,2021-01-31,2026-07-31,-0.020080393074863773,-0.05285652563558955,0.014666605527158498,0.7423888029679697,0.3670456529402107,1.1825785819513552,0.8616198715024913,0.6058429276142544,1.0874642899660454,recent,monthly,total
ENTG,67,2021-01-31,2026-07-31,0.01325856425139911,-0.012480918602900822,0.03622823446096268,0.7928826846447545,0.4446366453978065,1.2628705857929723,0.8904396019072571,0.6668108018004856,1.123775149125915,recent,monthly,excess
CRS,67,2021-01-31,2026-07-31,-0.029711648708984437,-0.06507777913842216,0.009028410954476254,0.658045083195601,0.35199717241068557,0.951602224892525,0.8111997800761542,0.5932934960124588,0.9755010122457716,recent,monthly,excess
ATI,67,2021-01-31,2026-07-31,-0.020080393074863766,-0.052856525635589534,0.014666605527158493,0.743679127659838,0.36855573861353647,1.1891700375391354,0.8623683248240499,0.6070879167085576,1.0904907324407371,recent,monthly,excess
