task,horizon,ticker,model,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
return,1,MTRN,boost_full,44,0.1333594047097888,0.106376673415054,0.0,-0.0121142218315856,-0.1798810973136095,0,2023-01-31,2026-08-31,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,capm_style,44,0.1345435848262829,0.1086608062410505,-0.0178380767461514,-0.0094585920457645,-0.1593914179237311,0,2023-01-31,2026-08-31,0.5227272727272727,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,core_ols,44,0.1389031090874626,0.1074768426553086,-0.0848673451684112,-0.0354429770804734,0.0684465001929139,0,2023-01-31,2026-08-31,0.5681818181818182,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,core_ridge,44,0.1384711741255643,0.1108455967221273,-0.0781307995533484,-0.0182351444843728,-0.0915301577995901,0,2023-01-31,2026-08-31,0.5,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,distributed_all_lag1,44,0.138975201799054,0.1101888829186077,-0.0859937609191967,-0.0158382494604137,-0.1231069732894099,0,2023-01-31,2026-08-31,0.4545454545454545,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,elastic_full,44,0.135265299966894,0.106654893933641,-0.0287870845859463,-0.0092401270681538,-0.1493084777704257,0,2023-01-31,2026-08-31,0.5227272727272727,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,forest_full,44,0.1333594047097888,0.106376673415054,0.0,-0.0121142218315856,-0.1798810973136095,0,2023-01-31,2026-08-31,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,historical_mean,44,0.1333594047097888,0.106376673415054,0.0,-0.0121142218315856,-0.1798810973136095,0,2023-01-31,2026-08-31,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,lasso_full,44,0.1345856917951786,0.1064821364746226,-0.0184752648032227,-0.010218505118206,-0.1264607776427862,0,2023-01-31,2026-08-31,0.5227272727272727,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,market_mean,44,0.1348689944272529,0.1084741691112274,-0.0227675547785193,-0.0176357564121906,-0.1218303102353536,0,2023-01-31,2026-08-31,0.5,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,ridge_full,44,0.1347730803973834,0.1069433007137458,-0.0213133602633504,-0.0139332812059849,-0.1630181646552062,0,2023-01-31,2026-08-31,0.5681818181818182,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,zero,44,0.1361108420212717,0.1075963031154736,-0.0416891601286948,-0.0316145827097825,,0,2023-01-31,2026-08-31,0.0,0.5454545454545454,0.5454545454545454,44.0,,,,
