task,ticker,expanded,reduced,excluded,full_mean,mean_loss_reduction,pvalue,sign_flip
variance,CRS,pooled_ridge,historical_variance63,2026-04,0.0627195549354318,0.0652274067353101,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2026-05,0.0627195549354318,0.0626433391122309,0.002,False
variance,CRS,pooled_ridge,historical_variance63,2026-06,0.0627195549354318,0.0609628248524101,0.006,False
variance,CRS,pooled_ridge,historical_variance63,2026-07,0.0627195549354318,0.0659069723969558,0.002,False
variance,CRS,pooled_ridge,historical_variance63,2026-08,0.0627195549354318,0.0648421572464106,0.002,False
variance,ATI,pooled_ridge,historical_variance63,2023-01,0.0562834689407633,0.0552477667858812,0.289,False
variance,ATI,pooled_ridge,historical_variance63,2023-02,0.0562834689407633,0.0553307705281859,0.287,False
variance,ATI,pooled_ridge,historical_variance63,2023-03,0.0562834689407633,0.057654790130086,0.25,False
variance,ATI,pooled_ridge,historical_variance63,2023-04,0.0562834689407633,0.0644027970004477,0.161,False
variance,ATI,pooled_ridge,historical_variance63,2023-05,0.0562834689407633,0.0542378880304121,0.31,False
variance,ATI,pooled_ridge,historical_variance63,2023-06,0.0562834689407633,0.0580605645735177,0.248,False
variance,ATI,pooled_ridge,historical_variance63,2023-07,0.0562834689407633,0.0627791958651175,0.178,False
variance,ATI,pooled_ridge,historical_variance63,2023-08,0.0562834689407633,0.0625585930792718,0.181,False
variance,ATI,pooled_ridge,historical_variance63,2023-09,0.0562834689407633,0.0673486254445314,0.126,False
variance,ATI,pooled_ridge,historical_variance63,2023-10,0.0562834689407633,0.0558457536577031,0.274,False
variance,ATI,pooled_ridge,historical_variance63,2023-11,0.0562834689407633,0.0491846953987002,0.36,False
variance,ATI,pooled_ridge,historical_variance63,2023-12,0.0562834689407633,0.0616790544563385,0.207,False
variance,ATI,pooled_ridge,historical_variance63,2024-01,0.0562834689407633,0.0591832161191513,0.231,False
variance,ATI,pooled_ridge,historical_variance63,2024-02,0.0562834689407633,0.0542101989895581,0.278,False
variance,ATI,pooled_ridge,historical_variance63,2024-03,0.0562834689407633,0.0596407818228469,0.229,False
variance,ATI,pooled_ridge,historical_variance63,2024-04,0.0562834689407633,0.0498047124848358,0.341,False
variance,ATI,pooled_ridge,historical_variance63,2024-05,0.0562834689407633,0.0554128430033634,0.26,False
variance,ATI,pooled_ridge,historical_variance63,2024-06,0.0562834689407633,0.0577808914377018,0.236,False
variance,ATI,pooled_ridge,historical_variance63,2024-07,0.0562834689407633,0.0574706743673396,0.244,False
variance,ATI,pooled_ridge,historical_variance63,2024-08,0.0562834689407633,0.0585961856558396,0.227,False
variance,ATI,pooled_ridge,historical_variance63,2024-09,0.0562834689407633,0.0586015432889775,0.227,False
variance,ATI,pooled_ridge,historical_variance63,2024-10,0.0562834689407633,0.057570603467716,0.24,False
variance,ATI,pooled_ridge,historical_variance63,2024-11,0.0562834689407633,0.0601613986765974,0.218,False
variance,ATI,pooled_ridge,historical_variance63,2024-12,0.0562834689407633,0.0615631102050506,0.208,False
variance,ATI,pooled_ridge,historical_variance63,2025-01,0.0562834689407633,0.0601927706750383,0.212,False
variance,ATI,pooled_ridge,historical_variance63,2025-02,0.0562834689407633,0.0479487138717903,0.288,False
variance,ATI,pooled_ridge,historical_variance63,2025-03,0.0562834689407633,0.0545904675410682,0.257,False
variance,ATI,pooled_ridge,historical_variance63,2025-04,0.0562834689407633,0.0241601843510151,0.454,False
variance,ATI,pooled_ridge,historical_variance63,2025-05,0.0562834689407633,0.0574676390882073,0.25,False
variance,ATI,pooled_ridge,historical_variance63,2025-06,0.0562834689407633,0.0391926450933786,0.367,False
variance,ATI,pooled_ridge,historical_variance63,2025-07,0.0562834689407633,0.0744935857299371,0.191,False
variance,ATI,pooled_ridge,historical_variance63,2025-08,0.0562834689407633,0.0517494695723394,0.309,False
variance,ATI,pooled_ridge,historical_variance63,2025-09,0.0562834689407633,0.0572562221910566,0.248,False
variance,ATI,pooled_ridge,historical_variance63,2025-10,0.0562834689407633,0.058231589404752,0.238,False
variance,ATI,pooled_ridge,historical_variance63,2025-11,0.0562834689407633,0.0580270089789605,0.241,False
variance,ATI,pooled_ridge,historical_variance63,2025-12,0.0562834689407633,0.0582731762447212,0.239,False
variance,ATI,pooled_ridge,historical_variance63,2026-01,0.0562834689407633,0.0570091971202811,0.246,False
variance,ATI,pooled_ridge,historical_variance63,2026-02,0.0562834689407633,0.0701299098464089,0.175,False
variance,ATI,pooled_ridge,historical_variance63,2026-03,0.0562834689407633,0.0287846579684385,0.608,False
variance,ATI,pooled_ridge,historical_variance63,2026-04,0.0562834689407633,0.0570599948593512,0.253,False
variance,ATI,pooled_ridge,historical_variance63,2026-05,0.0562834689407633,0.0569655349137598,0.253,False
variance,ATI,pooled_ridge,historical_variance63,2026-06,0.0562834689407633,0.0549310996101266,0.266,False
variance,ATI,pooled_ridge,historical_variance63,2026-07,0.0562834689407633,0.0582065186485304,0.238,False
variance,ATI,pooled_ridge,historical_variance63,2026-08,0.0562834689407633,0.0574755932152511,0.245,False
return,MTRN,core_ols,historical_mean,2023-01,-0.0015093428896143,-0.0014845569720848,0.442,False
return,MTRN,core_ols,historical_mean,2023-02,-0.0015093428896143,-0.0012559884176246,0.494,False
return,MTRN,core_ols,historical_mean,2023-03,-0.0015093428896143,-0.0015429795942935,0.418,False
return,MTRN,core_ols,historical_mean,2023-04,-0.0015093428896143,-0.0016006301296537,0.402,False
return,MTRN,core_ols,historical_mean,2023-05,-0.0015093428896143,-0.0016731498551803,0.382,False
return,MTRN,core_ols,historical_mean,2023-06,-0.0015093428896143,-0.0016913730775378,0.375,False
return,MTRN,core_ols,historical_mean,2023-07,-0.0015093428896143,-0.0014908826937937,0.459,False
return,MTRN,core_ols,historical_mean,2023-08,-0.0015093428896143,-0.0017313210302063,0.353,False
return,MTRN,core_ols,historical_mean,2023-09,-0.0015093428896143,-0.0016673567231899,0.387,False
return,MTRN,core_ols,historical_mean,2023-10,-0.0015093428896143,-0.0016355343454173,0.399,False
return,MTRN,core_ols,historical_mean,2023-11,-0.0015093428896143,-0.0011069011150128,0.618,False
return,MTRN,core_ols,historical_mean,2023-12,-0.0015093428896143,-0.0014525931121918,0.47,False
return,MTRN,core_ols,historical_mean,2024-01,-0.0015093428896143,-0.0016092622717789,0.423,False
return,MTRN,core_ols,historical_mean,2024-02,-0.0015093428896143,-0.0013188281376482,0.527,False
return,MTRN,core_ols,historical_mean,2024-03,-0.0015093428896143,-0.0015579623363271,0.426,False
return,MTRN,core_ols,historical_mean,2024-04,-0.0015093428896143,-0.0018006156384658,0.349,False
return,MTRN,core_ols,historical_mean,2024-05,-0.0015093428896143,-0.0014581809721466,0.483,False
return,MTRN,core_ols,historical_mean,2024-06,-0.0015093428896143,-0.001603731074275,0.421,False
return,MTRN,core_ols,historical_mean,2024-07,-0.0015093428896143,-0.0015118479462613,0.462,False
return,MTRN,core_ols,historical_mean,2024-08,-0.0015093428896143,-0.0016073955012113,0.421,False
return,MTRN,core_ols,historical_mean,2024-09,-0.0015093428896143,-0.001612402785768,0.416,False
return,MTRN,core_ols,historical_mean,2024-10,-0.0015093428896143,-0.0017557120906273,0.359,False
return,MTRN,core_ols,historical_mean,2024-11,-0.0015093428896143,-0.0014293124903005,0.501,False
return,MTRN,core_ols,historical_mean,2024-12,-0.0015093428896143,-0.0016886003637666,0.373,False
return,MTRN,core_ols,historical_mean,2025-01,-0.0015093428896143,-0.0015426951420213,0.442,False
return,MTRN,core_ols,historical_mean,2025-02,-0.0015093428896143,-0.0017030902843538,0.373,False
return,MTRN,core_ols,historical_mean,2025-03,-0.0015093428896143,-0.0017898940548964,0.347,False
return,MTRN,core_ols,historical_mean,2025-04,-0.0015093428896143,-0.0013966160666205,0.501,False
return,MTRN,core_ols,historical_mean,2025-05,-0.0015093428896143,-0.0016251718518776,0.408,False
return,MTRN,core_ols,historical_mean,2025-06,-0.0015093428896143,-0.0015379865846034,0.44,False
return,MTRN,core_ols,historical_mean,2025-07,-0.0015093428896143,-0.0012875500730184,0.549,False
