ticker,date,model,parameter,validation_mse
CRS,2022-12-31,variance_ridge_external,0.1,0.10088884308625916
CRS,2022-12-31,variance_ridge_external,1.0,0.0956438013987259
CRS,2022-12-31,variance_ridge_external,10.0,0.08335510693533504
CRS,2022-12-31,variance_ridge_external,100.0,0.0804368614911702
CRS,2023-12-31,variance_ridge,0.01,521.1948374827367
CRS,2023-12-31,variance_ridge,0.1,9.548784064333283
CRS,2023-12-31,variance_ridge,1.0,1.2721484803867318
CRS,2023-12-31,variance_ridge,10.0,0.3578928844092381
CRS,2023-12-31,variance_ridge,100.0,0.1271518051552665
CRS,2023-12-31,variance_forest,0.0,0.0966612045168063
CRS,2023-12-31,variance_forest,1.0,0.0832272772897621
CRS,2023-12-31,variance_boost,0.0,0.09128572779337112
CRS,2023-12-31,variance_boost,1.0,0.09523917485165823
CRS,2023-12-31,variance_ridge_persistence,0.01,0.11917693300864322
CRS,2023-12-31,variance_ridge_persistence,0.1,0.11906939623574168
CRS,2023-12-31,variance_ridge_persistence,1.0,0.11812932874181097
CRS,2023-12-31,variance_ridge_persistence,10.0,0.11414352773532095
CRS,2023-12-31,variance_ridge_persistence,100.0,0.11040190879780047
CRS,2023-12-31,variance_ridge_market,0.01,0.0833164185619158
CRS,2023-12-31,variance_ridge_market,0.1,0.08332347919935816
CRS,2023-12-31,variance_ridge_market,1.0,0.08347763076181419
CRS,2023-12-31,variance_ridge_market,10.0,0.08557393111130178
CRS,2023-12-31,variance_ridge_market,100.0,0.09063910214611194
CRS,2023-12-31,variance_ridge_external,0.01,0.09995076553445288
CRS,2023-12-31,variance_ridge_external,0.1,0.0996012012677094
CRS,2023-12-31,variance_ridge_external,1.0,0.09689984899200908
CRS,2023-12-31,variance_ridge_external,10.0,0.09202219062276608
CRS,2023-12-31,variance_ridge_external,100.0,0.09511207607717333
CRS,2024-12-31,variance_ridge,0.01,34.82320485465439
CRS,2024-12-31,variance_ridge,0.1,3.8210147510835477
CRS,2024-12-31,variance_ridge,1.0,1.0304169393748122
CRS,2024-12-31,variance_ridge,10.0,0.2519603104458538
CRS,2024-12-31,variance_ridge,100.0,0.08294208425724033
CRS,2024-12-31,variance_forest,0.0,0.10913614369342373
CRS,2024-12-31,variance_forest,1.0,0.09475503836850112
CRS,2024-12-31,variance_boost,0.0,0.09362931538716945
CRS,2024-12-31,variance_boost,1.0,0.13489334085625806
CRS,2024-12-31,variance_ridge_persistence,0.01,0.1101742007079659
CRS,2024-12-31,variance_ridge_persistence,0.1,0.11016297883859964
CRS,2024-12-31,variance_ridge_persistence,1.0,0.11006226451649777
CRS,2024-12-31,variance_ridge_persistence,10.0,0.10956280517542964
CRS,2024-12-31,variance_ridge_persistence,100.0,0.1103444294112917
CRS,2024-12-31,variance_ridge_market,0.01,0.08801201139368105
CRS,2024-12-31,variance_ridge_market,0.1,0.0879770451738733
CRS,2024-12-31,variance_ridge_market,1.0,0.08766389976105665
CRS,2024-12-31,variance_ridge_market,10.0,0.08602806328491076
CRS,2024-12-31,variance_ridge_market,100.0,0.08536700288230104
CRS,2024-12-31,variance_ridge_external,0.01,0.07706385289141983
CRS,2024-12-31,variance_ridge_external,0.1,0.07710727747468221
CRS,2024-12-31,variance_ridge_external,1.0,0.0775457640617755
CRS,2024-12-31,variance_ridge_external,10.0,0.08094879004037335
CRS,2024-12-31,variance_ridge_external,100.0,0.08823761719902405
CRS,2025-12-31,variance_ridge,0.01,0.9220828991403902
CRS,2025-12-31,variance_ridge,0.1,0.6154628403691949
CRS,2025-12-31,variance_ridge,1.0,0.36459631595619374
CRS,2025-12-31,variance_ridge,10.0,0.2153487094644043
CRS,2025-12-31,variance_ridge,100.0,0.19141418714860106
CRS,2025-12-31,variance_forest,0.0,0.2530365583537055
CRS,2025-12-31,variance_forest,1.0,0.23651759880472148
CRS,2025-12-31,variance_boost,0.0,0.22558834819834553
CRS,2025-12-31,variance_boost,1.0,0.24201380275696804
CRS,2025-12-31,variance_ridge_persistence,0.01,0.23982805229364632
CRS,2025-12-31,variance_ridge_persistence,0.1,0.2397903368330562
CRS,2025-12-31,variance_ridge_persistence,1.0,0.23943597083465049
CRS,2025-12-31,variance_ridge_persistence,10.0,0.23702002113469298
CRS,2025-12-31,variance_ridge_persistence,100.0,0.226578067817814
CRS,2025-12-31,variance_ridge_market,0.01,0.22459041209184616
CRS,2025-12-31,variance_ridge_market,0.1,0.2247040713054851
CRS,2025-12-31,variance_ridge_market,1.0,0.22577231984508583
CRS,2025-12-31,variance_ridge_market,10.0,0.23187232460313068
CRS,2025-12-31,variance_ridge_market,100.0,0.22962583854783714
CRS,2025-12-31,variance_ridge_external,0.01,0.20911958316637624
