task,horizon,ticker,model,window,refits,intercept_only_share,median_candidates,median_retained,max_missing_indicators,max_excluded_low_coverage,median_effective_df,median_condition_number,min_rank,median_nonzero_coefficients,median_tree_leaves,distinct_retained_sets
variance,1,ENTG,variance_ridge_external,expanding,44,0.0,8.0,8.0,0,0,2.842885794200165,7.169805002204936,8,8.0,,1
variance,1,ENTG,variance_ridge_market,expanding,44,0.0,6.0,6.0,0,0,2.283032481162847,5.246071718021178,6,6.0,,1
variance,1,ENTG,variance_ridge_persistence,expanding,44,0.0,3.0,3.0,0,0,2.461865420428188,3.4308861281623555,3,3.0,,1
variance,1,MTRN,variance_boost,expanding,44,0.18181818181818182,80.0,74.0,6,6,0.0,672.2865064025301,0,0.0,336.0,1
variance,1,MTRN,variance_forest,expanding,44,0.0,80.0,74.0,6,6,,651.0922852206014,75,0.0,357.0,1
variance,1,MTRN,variance_ridge,expanding,44,0.18181818181818182,80.0,74.0,6,6,4.8902217459160084,672.2865064025301,0,80.0,,1
variance,1,MTRN,variance_ridge_external,expanding,44,0.0,8.0,8.0,0,0,3.119233248550386,6.4945787727433535,8,8.0,,1
variance,1,MTRN,variance_ridge_market,expanding,44,0.0,6.0,6.0,0,0,2.449679782710316,4.785463331497377,6,6.0,,1
variance,1,MTRN,variance_ridge_persistence,expanding,44,0.7272727272727273,3.0,3.0,0,0,0.0,2.4352712713006133,0,0.0,,1
variance,1,MTRN+ENTG,business_pair_ridge,expanding,44,0.0,83.0,78.0,13,3,20.628861883826815,1280.1089040416346,83,91.0,,1
variance,1,pooled,panel_company_effects,expanding,44,0.0,9.0,9.0,2,0,11.0,23.88347317677293,10,11.0,,1
variance,1,pooled,pooled_boost,expanding,44,0.5454545454545454,83.0,77.0,22,6,0.0,475.4803073605576,0,0.0,120.0,2
variance,1,pooled,pooled_forest,expanding,44,0.0,83.0,77.0,22,6,,474.0118305723867,91,0.0,1023.5,2
variance,1,pooled,pooled_ridge,expanding,44,0.0,83.0,77.0,22,6,5.409300579021503,474.0118305723867,91,98.0,,2
variance,1,pooled,pooled_variance_external,expanding,44,0.0,11.0,11.0,0,0,4.2774046068066465,6.673910574267788,11,11.0,,1
variance,1,pooled,pooled_variance_persistence,expanding,44,0.0,6.0,6.0,0,0,2.45460826859769,4.0411505445153715,6,6.0,,1
