ticker,variable,group,observations,available,status,selected_by_a_recorded_primary_model
ENTG,drawdown_252,risk,129,129,implemented,True
ENTG,log_dollar_volume,risk,129,129,implemented,True
ENTG,turnover,risk,129,129,implemented,True
ENTG,amihud,risk,129,129,implemented,True
ENTG,industry_vol,industry,129,129,implemented,True
ENTG,sector_return,industry,129,129,implemented,True
ENTG,semis_return,industry,129,129,implemented,True
ENTG,defense_return,industry,129,129,implemented,True
ENTG,driver_vol,business,129,129,implemented,True
ENTG,copper_return,business,129,129,implemented,True
ENTG,gold_return,business,129,129,implemented,True
ENTG,silver_return,business,129,129,implemented,True
ENTG,gas_return,business,129,129,implemented,True
ENTG,oil_return,business,129,129,implemented,True
ENTG,revenue_growth_diff,transform,129,129,implemented,True
ENTG,operating_margin_diff,transform,129,129,implemented,True
ENTG,roe_diff,transform,129,129,implemented,True
ENTG,earnings_yield_diff,transform,129,129,implemented,True
ENTG,revenue_growth_lag1,transform,129,129,implemented,True
ENTG,earnings_yield_lag1,transform,129,129,implemented,True
ENTG,pe_pct_change,transform,129,125,implemented,True
ENTG,earnings_yield_z,transform,129,129,implemented,True
ENTG,revenue_valuation_interaction,interaction,129,129,implemented,False
ENTG,margin_valuation_interaction,interaction,129,129,implemented,False
ENTG,roic_proxy,claims_proxy,129,122,implemented,False
ENTG,ev_ebitda_proxy,claims_proxy,129,122,implemented,False
ENTG,ev_sales_proxy,claims_proxy,129,122,implemented,False
ENTG,fcf_yield,mine_inclusive_fcf,129,129,implemented,False
ENTG,fcf_assets,mine_inclusive_fcf,129,129,implemented,False
ENTG,pe,valuation,129,126,reported; reciprocal/related representation tested instead where redundant,False
ENTG,pb,valuation,129,129,reported; reciprocal/related representation tested instead where redundant,False
ENTG,ps,valuation,129,129,reported; reciprocal/related representation tested instead where redundant,False
ENTG,pe_relative,valuation,129,114,reported; reciprocal/related representation tested instead where redundant,False
ENTG,forward_pe,deferred,129,0,deferred,False
ENTG,earnings_surprise,deferred,129,0,deferred,False
ENTG,analyst_revisions,deferred,129,0,deferred,False
ENTG,bid_ask_spread,deferred,129,0,deferred,False
ENTG,roic,deferred,129,0,deferred,False
ENTG,ev_ebitda,deferred,129,0,deferred,False
ENTG,ev_sales,deferred,129,0,deferred,False
ENTG,index_membership_return,deferred,129,0,deferred,False
ENTG,tungsten_molybdenum_prices,deferred,129,0,deferred,False
MTRN,market_return,market,129,129,implemented,True
MTRN,market_vol,market,129,129,implemented,True
MTRN,smallcap_return,market,129,129,implemented,True
MTRN,yield_10y,market,129,129,implemented,True
MTRN,yield_short,market,129,129,implemented,True
MTRN,yield_10y_change,market,129,129,implemented,True
MTRN,term_spread,market,129,129,implemented,True
MTRN,vix,market,129,129,implemented,True
MTRN,credit_spread,market,129,36,implemented,False
MTRN,credit_spread_change,market,129,35,implemented,False
MTRN,real_yield,market,129,129,implemented,True
MTRN,real_yield_change,market,129,129,implemented,True
MTRN,eurusd_return,market,129,129,implemented,True
MTRN,dollar_return,market,129,129,implemented,True
MTRN,revenue_growth,financial,129,129,implemented,True
MTRN,eps_growth,financial,129,115,implemented,True
MTRN,eps_change_price,financial,129,129,implemented,True
MTRN,loss_transition,financial,129,129,implemented,True
MTRN,ebitda_growth,financial,129,126,implemented,True
MTRN,gross_margin,financial,129,129,implemented,True
MTRN,operating_margin,financial,129,129,implemented,True
MTRN,net_margin,financial,129,129,implemented,True
MTRN,ebitda_margin,financial,129,129,implemented,True
