ticker,task,window,date,model,parameter,validation_loss,inner_origins,first_inner_origin,labels_matured,horizon,stage,order,train_rows
MTRN+ENTG,return,expanding,2024-12-31,business_pair_ridge,intercept_only,0.0130247113965468,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2024-12-31,business_pair_ridge,0.0001,0.0505739632841313,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2024-12-31,business_pair_ridge,0.001,0.038212761092817,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2024-12-31,business_pair_ridge,0.01,0.0272153128541416,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2024-12-31,business_pair_ridge,0.1,0.0182977939842222,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2024-12-31,business_pair_ridge,1.0,0.0141610600028409,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2024-12-31,business_pair_ridge,10.0,0.0130477825057703,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,return,expanding,2024-12-31,business_pair_ridge,100.0,0.013001863834056,24,2022-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2024-12-31,business_pair_ridge,intercept_only,0.0199102362846241,24,2022-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2024-12-31,business_pair_ridge,0.0001,0.0476516928200209,24,2022-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2024-12-31,business_pair_ridge,0.001,0.0352006801482722,24,2022-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2024-12-31,business_pair_ridge,0.01,0.0255500708597043,24,2022-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2024-12-31,business_pair_ridge,0.1,0.0209262102248708,24,2022-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2024-12-31,business_pair_ridge,1.0,0.0199139784413313,24,2022-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2024-12-31,business_pair_ridge,10.0,0.0205981224959441,24,2022-12-31,True,,tuning_pooled,,
CRS+ATI,return,expanding,2024-12-31,business_pair_ridge,100.0,0.0200681270021079,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_ridge,intercept_only,0.2110636600367424,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_ridge,0.0001,0.3005533952467989,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_ridge,0.001,0.251561926370756,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_ridge,0.01,0.2173529879543075,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_ridge,0.1,0.1811859298127354,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_ridge,1.0,0.1615438864764984,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_ridge,10.0,0.1615483148202335,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_ridge,100.0,0.1971605129153645,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_forest,intercept_only,0.2110636600367424,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_forest,0,0.1618160676851869,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_forest,1,0.1613634681744247,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_boost,intercept_only,0.2110636600367424,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_boost,0,0.1652278438417379,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_boost,1,0.1790796417061921,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_persistence,intercept_only,0.2110636600367424,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_persistence,0.0001,0.2003931205928157,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_persistence,0.001,0.2003208585690361,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_persistence,0.01,0.1996332916668028,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_persistence,0.1,0.195034646945044,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_persistence,1.0,0.1872859304937898,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_persistence,10.0,0.1979171303763902,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_persistence,100.0,0.2090849713186864,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_external,intercept_only,0.2110636600367424,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_external,0.0001,0.1840820097702205,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_external,0.001,0.1840392985029582,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_external,0.01,0.183613256164926,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_external,0.1,0.180034047688129,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_external,1.0,0.1720681926705688,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_external,10.0,0.1852386388309188,24,2022-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2024-12-31,pooled_variance_external,100.0,0.206626271957763,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2024-12-31,business_pair_ridge,intercept_only,0.2103996656573672,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2024-12-31,business_pair_ridge,0.0001,1.163213408829623,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2024-12-31,business_pair_ridge,0.001,0.558343324276406,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2024-12-31,business_pair_ridge,0.01,0.3428912237417996,24,2022-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2024-12-31,business_pair_ridge,0.1,0.2306425450474341,24,2022-12-31,True,,tuning_pooled,,
