task,horizon,ticker,model,excluded_fallbacks,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
return,1,ATI,core_ols_financial_ext,0,44,0.1398602346372721,0.10734593934701193,-0.027602112803177814,-0.013625960521762976,-0.044313108007235265,0,2023-01-31,2026-08-31,0.6363636363636364,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,core_pe_difference,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,core_pe_lag1,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,core_pe_level,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,core_pe_percentage,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,core_ridge,0,44,0.13590559185999376,0.10632775693054017,0.029688595259739214,-0.002839826222705781,0.09658342603673625,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,core_ridge_financial_ext,0,44,0.13957248278526263,0.10540881954238776,-0.023378035424591603,-0.016036184145526503,-0.06865151194780879,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,distributed_all_lag1,0,44,0.1386172039557948,0.10604392091648757,-0.009417320397105078,-0.010462195976122125,0.03931174938579466,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,distributed_all_lag3,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,distributed_lag1,0,44,0.13865443613827683,0.10588119713791641,-0.009959646401644484,-0.011543861262979722,0.018271412989786382,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,distributed_lag3,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,elastic_full,0,44,0.14011483853869466,0.10903125245841498,-0.0313468462062958,-0.023917365123739223,-0.03986521857423754,0,2023-01-31,2026-08-31,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,financial_only,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,financial_valuation,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,forest_full,0,44,0.13871088338126397,0.10556399655010038,-0.010782137821852666,-0.041000705956713755,0.2058774226397143,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
