ticker,variable,group,observations,available,status
ENTG,sector_return,industry,129,129,implemented
ENTG,semis_return,industry,129,129,implemented
ENTG,defense_return,industry,129,129,implemented
ENTG,driver_vol,business,129,129,implemented
ENTG,copper_return,business,129,129,implemented
ENTG,gold_return,business,129,129,implemented
ENTG,silver_return,business,129,129,implemented
ENTG,gas_return,business,129,129,implemented
ENTG,oil_return,business,129,129,implemented
ENTG,revenue_growth_diff,transform,129,129,implemented
ENTG,operating_margin_diff,transform,129,129,implemented
ENTG,roe_diff,transform,129,129,implemented
ENTG,earnings_yield_diff,transform,129,129,implemented
ENTG,revenue_growth_lag1,transform,129,129,implemented
ENTG,earnings_yield_lag1,transform,129,129,implemented
ENTG,pe_pct_change,transform,129,125,implemented
ENTG,earnings_yield_z,transform,129,129,implemented
ENTG,revenue_valuation_interaction,interaction,129,129,implemented
ENTG,margin_valuation_interaction,interaction,129,129,implemented
ENTG,roic_proxy,claims_proxy,129,122,implemented
ENTG,ev_ebitda_proxy,claims_proxy,129,122,implemented
ENTG,ev_sales_proxy,claims_proxy,129,122,implemented
ENTG,fcf_yield,mine_inclusive_fcf,129,129,implemented
ENTG,fcf_assets,mine_inclusive_fcf,129,129,implemented
ENTG,pe,valuation,129,126,reported; reciprocal/related representation tested instead where redundant
ENTG,pb,valuation,129,129,reported; reciprocal/related representation tested instead where redundant
ENTG,ps,valuation,129,129,reported; reciprocal/related representation tested instead where redundant
ENTG,pe_relative,valuation,129,114,reported; reciprocal/related representation tested instead where redundant
ENTG,forward_pe,deferred,129,0,deferred
ENTG,earnings_surprise,deferred,129,0,deferred
ENTG,analyst_revisions,deferred,129,0,deferred
ENTG,bid_ask_spread,deferred,129,0,deferred
ENTG,roic,deferred,129,0,deferred
ENTG,ev_ebitda,deferred,129,0,deferred
ENTG,ev_sales,deferred,129,0,deferred
ENTG,index_membership_return,deferred,129,0,deferred
ENTG,tungsten_molybdenum_prices,deferred,129,0,deferred
MTRN,market_return,market,129,129,implemented
MTRN,market_vol,market,129,129,implemented
MTRN,smallcap_return,market,129,129,implemented
MTRN,yield_10y,market,129,129,implemented
MTRN,yield_short,market,129,129,implemented
MTRN,yield_10y_change,market,129,129,implemented
MTRN,term_spread,market,129,129,implemented
MTRN,vix,market,129,129,implemented
MTRN,credit_spread,market,129,36,implemented
MTRN,credit_spread_change,market,129,35,implemented
MTRN,real_yield,market,129,129,implemented
MTRN,real_yield_change,market,129,129,implemented
MTRN,eurusd_return,market,129,129,implemented
MTRN,dollar_return,market,129,129,implemented
MTRN,revenue_growth,financial,129,129,implemented
MTRN,eps_growth,financial,129,115,implemented
MTRN,eps_change_price,financial,129,129,implemented
MTRN,loss_transition,financial,129,129,implemented
MTRN,ebitda_growth,financial,129,126,implemented
MTRN,gross_margin,financial,129,129,implemented
MTRN,operating_margin,financial,129,129,implemented
MTRN,net_margin,financial,129,129,implemented
MTRN,ebitda_margin,financial,129,129,implemented
MTRN,roa,financial,129,129,implemented
MTRN,roe,financial,129,129,implemented
MTRN,cfo_assets,financial,129,129,implemented
MTRN,fcf_equipment_assets,financial,129,129,implemented
MTRN,capex_assets,financial,129,76,implemented
MTRN,cash_assets,financial,129,129,implemented
MTRN,debt_assets,financial,129,84,implemented
MTRN,debt_equity,financial,129,84,implemented
MTRN,interest_coverage,financial,129,19,implemented
MTRN,current_ratio,financial,129,129,implemented
MTRN,quick_ratio,financial,129,129,implemented
MTRN,payout,financial,129,129,implemented
MTRN,earnings_age_days,financial,129,129,implemented
MTRN,earnings_yield,valuation,129,129,implemented
MTRN,book_yield,valuation,129,129,implemented
MTRN,sales_yield,valuation,129,129,implemented
MTRN,fcf_equipment_yield,valuation,129,129,implemented
MTRN,dividend_yield,valuation,129,129,implemented
MTRN,earnings_yield_relative,valuation,129,117,implemented
MTRN,earnings_yield_percentile,valuation,129,117,implemented
MTRN,fcf_equipment_yield_relative,valuation,129,117,implemented
MTRN,pe_percentile,valuation,129,117,implemented
MTRN,peer_earnings_yield_gap,valuation,129,129,implemented
MTRN,momentum_1,momentum,129,129,implemented
MTRN,momentum_3,momentum,129,129,implemented
MTRN,momentum_6,momentum,129,129,implemented
MTRN,momentum_12,momentum,129,129,implemented
MTRN,relative_momentum,momentum,129,129,implemented
MTRN,industry_momentum_relative,momentum,129,129,implemented
MTRN,vol_21,risk,129,129,implemented
MTRN,vol_63,risk,129,129,implemented
MTRN,vol_252,risk,129,129,implemented
MTRN,beta_252,risk,129,129,implemented
MTRN,idio_vol,risk,129,129,implemented
MTRN,downside_deviation,risk,129,129,implemented
MTRN,drawdown_252,risk,129,129,implemented
MTRN,log_dollar_volume,risk,129,129,implemented
MTRN,turnover,risk,129,129,implemented
MTRN,amihud,risk,129,129,implemented
MTRN,industry_vol,industry,129,129,implemented
MTRN,sector_return,industry,129,129,implemented
MTRN,semis_return,industry,129,129,implemented
MTRN,defense_return,industry,129,129,implemented
MTRN,driver_vol,business,129,129,implemented
MTRN,copper_return,business,129,129,implemented
MTRN,gold_return,business,129,129,implemented
MTRN,silver_return,business,129,129,implemented
MTRN,gas_return,business,129,129,implemented
MTRN,oil_return,business,129,129,implemented
MTRN,revenue_growth_diff,transform,129,129,implemented
MTRN,operating_margin_diff,transform,129,129,implemented
MTRN,roe_diff,transform,129,129,implemented
MTRN,earnings_yield_diff,transform,129,129,implemented
MTRN,revenue_growth_lag1,transform,129,129,implemented
MTRN,earnings_yield_lag1,transform,129,129,implemented
MTRN,pe_pct_change,transform,129,129,implemented
MTRN,earnings_yield_z,transform,129,129,implemented
MTRN,revenue_valuation_interaction,interaction,129,129,implemented
MTRN,margin_valuation_interaction,interaction,129,129,implemented
MTRN,roic_proxy,claims_proxy,129,84,implemented
MTRN,ev_ebitda_proxy,claims_proxy,129,84,implemented
MTRN,ev_sales_proxy,claims_proxy,129,84,implemented
MTRN,fcf_yield,mine_inclusive_fcf,129,76,implemented
MTRN,fcf_assets,mine_inclusive_fcf,129,76,implemented
MTRN,pe,valuation,129,129,reported; reciprocal/related representation tested instead where redundant
MTRN,pb,valuation,129,129,reported; reciprocal/related representation tested instead where redundant
MTRN,ps,valuation,129,129,reported; reciprocal/related representation tested instead where redundant
MTRN,pe_relative,valuation,129,117,reported; reciprocal/related representation tested instead where redundant
MTRN,forward_pe,deferred,129,0,deferred
MTRN,earnings_surprise,deferred,129,0,deferred
MTRN,analyst_revisions,deferred,129,0,deferred
MTRN,bid_ask_spread,deferred,129,0,deferred
MTRN,roic,deferred,129,0,deferred
MTRN,ev_ebitda,deferred,129,0,deferred
MTRN,ev_sales,deferred,129,0,deferred
MTRN,index_membership_return,deferred,129,0,deferred
MTRN,tungsten_molybdenum_prices,deferred,129,0,deferred
