task,horizon,ticker,model,window,date,hyperparameter,candidates,retained,missing_indicators,excluded_low_coverage,excluded_constant,retained_set,intercept_only,train_rows,rank,condition_number,effective_df,nonzero_coefficients,tree_leaves,stage
return,1,ATI,core_ols,expanding,2024-04-30,0,6,6,0,0,0,580c0de17c4f,False,100,6,7.481112834199623,6.0,6,,specifications_return_ATI
return,1,ATI,core_ridge,expanding,2024-04-30,intercept_only,6,6,0,0,0,580c0de17c4f,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,arx,expanding,2024-04-30,0,7,7,0,0,0,c5d188be54d6,False,100,7,7.499208363112781,7.0,7,,specifications_return_ATI
return,1,ATI,ridge_full,expanding,2024-04-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,lasso_full,expanding,2024-04-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,elastic_full,expanding,2024-04-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,forest_full,expanding,2024-04-30,0,80,72,4,8,0,bdc805fc9aa2,False,100,73,3434.187433713454,,0,401.0,specifications_return_ATI
return,1,ATI,boost_full,expanding,2024-04-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag1,expanding,2024-04-30,intercept_only,10,10,0,0,0,3f159deb122a,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag3,expanding,2024-04-30,intercept_only,16,16,0,0,0,5c126f2089c6,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ar1,expanding,2024-04-30,0,1,1,0,0,0,3d8797b64536,False,100,1,1.0,1.0,1,,specifications_return_ATI
return,1,ATI,core_ridge_financial_ext,expanding,2024-04-30,100.0,8,8,0,0,0,f02eb952d10a,False,100,8,7.815637178345714,0.0787784796305745,8,,specifications_return_ATI
return,1,ATI,core_ols_financial_ext,expanding,2024-04-30,0,8,8,0,0,0,f02eb952d10a,False,100,8,7.815637178345714,8.0,8,,specifications_return_ATI
return,1,ATI,A1_market,expanding,2024-04-30,intercept_only,14,12,0,2,0,406d5eb3e717,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A2_financial,expanding,2024-04-30,intercept_only,36,30,0,6,0,dab488a17518,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A3_valuation,expanding,2024-04-30,intercept_only,46,39,0,7,0,c62100a84891,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A4_momentum,expanding,2024-04-30,intercept_only,52,45,0,7,0,635181c7c412,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A5_risk,expanding,2024-04-30,intercept_only,62,55,0,7,0,de65e4a36b13,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A6_industry,expanding,2024-04-30,intercept_only,66,59,0,7,0,e8463b1104fb,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A7_business,expanding,2024-04-30,intercept_only,72,65,0,7,0,3d5db8327499,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A8_transform,expanding,2024-04-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A9_interaction,expanding,2024-04-30,intercept_only,82,74,0,8,0,2151e36ae0fd,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P1_financial,expanding,2024-04-30,intercept_only,22,18,0,4,0,7568e36267f6,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P2_valuation,expanding,2024-04-30,intercept_only,32,27,0,5,0,49a8c04b6b01,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P3_transform,expanding,2024-04-30,intercept_only,40,34,0,6,0,bdc77e84081d,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P4_market,expanding,2024-04-30,intercept_only,69,61,0,8,0,1fd2f2db9b82,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P5_industry,expanding,2024-04-30,intercept_only,74,66,0,8,0,47515588cb01,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P6_business,expanding,2024-04-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,financial_only,expanding,2024-04-30,intercept_only,22,18,0,4,0,7568e36267f6,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,financial_valuation,expanding,2024-04-30,intercept_only,32,27,0,5,0,49a8c04b6b01,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_market,expanding,2024-04-30,intercept_only,63,57,0,6,0,39c7f96a505b,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_financial,expanding,2024-04-30,intercept_only,54,50,0,4,0,2ba5555a3f45,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_valuation,expanding,2024-04-30,intercept_only,66,60,0,6,0,e836c0201204,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_momentum,expanding,2024-04-30,intercept_only,74,66,0,8,0,76182b6146a6,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_risk,expanding,2024-04-30,100.0,70,62,4,8,0,3174fb5ea767,False,100,63,2371.858306562243,0.5869463964030421,66,,specifications_return_ATI
return,1,ATI,without_industry,expanding,2024-04-30,intercept_only,75,67,0,8,0,57702bd4165c,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_business,expanding,2024-04-30,intercept_only,74,66,0,8,0,47515588cb01,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,claims_proxy_sensitivity,expanding,2024-04-30,intercept_only,83,74,0,9,0,791aabc4ce21,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ridge_rolling84,rolling84,2024-04-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,84,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,core_ridge,expanding,2024-04-30,intercept_only,6,6,0,0,0,580c0de17c4f,True,100,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,ridge_full,expanding,2024-04-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,100,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,boost_full,expanding,2024-04-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,100,0,,0.0,0,,specifications_return_ATI
return,1,ATI,core_ols,expanding,2024-05-31,0,6,6,0,0,0,580c0de17c4f,False,101,6,7.498490327577292,6.0,6,,specifications_return_ATI
return,1,ATI,core_ridge,expanding,2024-05-31,intercept_only,6,6,0,0,0,580c0de17c4f,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,arx,expanding,2024-05-31,0,7,7,0,0,0,c5d188be54d6,False,101,7,7.514516313054073,7.0,7,,specifications_return_ATI
return,1,ATI,ridge_full,expanding,2024-05-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,lasso_full,expanding,2024-05-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,elastic_full,expanding,2024-05-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,forest_full,expanding,2024-05-31,0,80,72,4,8,0,bdc805fc9aa2,False,101,73,3469.2298567510675,,0,402.0,specifications_return_ATI
return,1,ATI,boost_full,expanding,2024-05-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag1,expanding,2024-05-31,intercept_only,10,10,0,0,0,3f159deb122a,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag3,expanding,2024-05-31,intercept_only,16,16,0,0,0,5c126f2089c6,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ar1,expanding,2024-05-31,0,1,1,0,0,0,3d8797b64536,False,101,1,1.0,1.0,1,,specifications_return_ATI
return,1,ATI,core_ridge_financial_ext,expanding,2024-05-31,100.0,8,8,0,0,0,f02eb952d10a,False,101,8,7.813440963905234,0.0787847641552469,8,,specifications_return_ATI
return,1,ATI,core_ols_financial_ext,expanding,2024-05-31,0,8,8,0,0,0,f02eb952d10a,False,101,8,7.813440963905234,8.0,8,,specifications_return_ATI
return,1,ATI,A1_market,expanding,2024-05-31,intercept_only,14,12,0,2,0,406d5eb3e717,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A2_financial,expanding,2024-05-31,intercept_only,36,30,0,6,0,dab488a17518,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A3_valuation,expanding,2024-05-31,intercept_only,46,39,0,7,0,c62100a84891,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A4_momentum,expanding,2024-05-31,intercept_only,52,45,0,7,0,635181c7c412,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A5_risk,expanding,2024-05-31,intercept_only,62,55,0,7,0,de65e4a36b13,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A6_industry,expanding,2024-05-31,intercept_only,66,59,0,7,0,e8463b1104fb,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A7_business,expanding,2024-05-31,intercept_only,72,65,0,7,0,3d5db8327499,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A8_transform,expanding,2024-05-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A9_interaction,expanding,2024-05-31,intercept_only,82,74,0,8,0,2151e36ae0fd,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P1_financial,expanding,2024-05-31,intercept_only,22,18,0,4,0,7568e36267f6,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P2_valuation,expanding,2024-05-31,intercept_only,32,27,0,5,0,49a8c04b6b01,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P3_transform,expanding,2024-05-31,intercept_only,40,34,0,6,0,bdc77e84081d,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P4_market,expanding,2024-05-31,intercept_only,69,61,0,8,0,1fd2f2db9b82,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P5_industry,expanding,2024-05-31,intercept_only,74,66,0,8,0,47515588cb01,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P6_business,expanding,2024-05-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,financial_only,expanding,2024-05-31,intercept_only,22,18,0,4,0,7568e36267f6,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,financial_valuation,expanding,2024-05-31,intercept_only,32,27,0,5,0,49a8c04b6b01,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_market,expanding,2024-05-31,intercept_only,63,57,0,6,0,39c7f96a505b,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_financial,expanding,2024-05-31,intercept_only,54,50,0,4,0,2ba5555a3f45,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_valuation,expanding,2024-05-31,intercept_only,66,60,0,6,0,e836c0201204,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_momentum,expanding,2024-05-31,intercept_only,74,66,0,8,0,76182b6146a6,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_risk,expanding,2024-05-31,100.0,70,62,4,8,0,3174fb5ea767,False,101,63,2370.936692433432,0.5870407005206972,66,,specifications_return_ATI
return,1,ATI,without_industry,expanding,2024-05-31,intercept_only,75,67,0,8,0,57702bd4165c,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_business,expanding,2024-05-31,intercept_only,74,66,0,8,0,47515588cb01,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,claims_proxy_sensitivity,expanding,2024-05-31,intercept_only,83,74,0,9,0,791aabc4ce21,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ridge_rolling84,rolling84,2024-05-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,84,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,core_ridge,expanding,2024-05-31,intercept_only,6,6,0,0,0,580c0de17c4f,True,101,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,ridge_full,expanding,2024-05-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,101,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,boost_full,expanding,2024-05-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,101,0,,0.0,0,,specifications_return_ATI
return,1,ATI,core_ols,expanding,2024-06-30,0,6,6,0,0,0,580c0de17c4f,False,102,6,7.497298705186742,6.0,6,,specifications_return_ATI
return,1,ATI,core_ridge,expanding,2024-06-30,intercept_only,6,6,0,0,0,580c0de17c4f,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,arx,expanding,2024-06-30,0,7,7,0,0,0,c5d188be54d6,False,102,7,7.51339928837354,7.0,7,,specifications_return_ATI
return,1,ATI,ridge_full,expanding,2024-06-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,lasso_full,expanding,2024-06-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,elastic_full,expanding,2024-06-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,forest_full,expanding,2024-06-30,0,80,72,4,8,0,bdc805fc9aa2,False,102,74,9043.25278178532,,0,396.0,specifications_return_ATI
return,1,ATI,boost_full,expanding,2024-06-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag1,expanding,2024-06-30,intercept_only,10,10,0,0,0,3f159deb122a,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag3,expanding,2024-06-30,intercept_only,16,16,0,0,0,5c126f2089c6,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ar1,expanding,2024-06-30,0,1,1,0,0,0,3d8797b64536,False,102,1,1.0,1.0,1,,specifications_return_ATI
return,1,ATI,core_ridge_financial_ext,expanding,2024-06-30,100.0,8,8,0,0,0,f02eb952d10a,False,102,8,7.813365065207909,0.0787941170135453,8,,specifications_return_ATI
return,1,ATI,core_ols_financial_ext,expanding,2024-06-30,0,8,8,0,0,0,f02eb952d10a,False,102,8,7.813365065207909,8.0,8,,specifications_return_ATI
return,1,ATI,A1_market,expanding,2024-06-30,intercept_only,14,12,0,2,0,406d5eb3e717,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A2_financial,expanding,2024-06-30,intercept_only,36,30,0,6,0,dab488a17518,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A3_valuation,expanding,2024-06-30,intercept_only,46,39,0,7,0,c62100a84891,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A4_momentum,expanding,2024-06-30,intercept_only,52,45,0,7,0,635181c7c412,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A5_risk,expanding,2024-06-30,intercept_only,62,55,0,7,0,de65e4a36b13,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A6_industry,expanding,2024-06-30,intercept_only,66,59,0,7,0,e8463b1104fb,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A7_business,expanding,2024-06-30,intercept_only,72,65,0,7,0,3d5db8327499,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A8_transform,expanding,2024-06-30,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A9_interaction,expanding,2024-06-30,intercept_only,82,74,0,8,0,2151e36ae0fd,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P1_financial,expanding,2024-06-30,intercept_only,22,18,0,4,0,7568e36267f6,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P2_valuation,expanding,2024-06-30,intercept_only,32,27,0,5,0,49a8c04b6b01,True,102,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P3_transform,expanding,2024-06-30,intercept_only,40,34,0,6,0,bdc77e84081d,True,102,0,,0.0,0,,specifications_return_ATI
