task,horizon,ticker,model,regime,value,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
market_relative_return,1,CRS,ridge_full,calendar_year,2024,12,0.16216768024412243,0.1335972562437002,-0.019440527211607606,-0.05822253625209887,-0.11125971183868268,0,2024-01-31,2024-12-31,0.4166666666666667,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,ridge_full,calendar_year,2025,12,0.10806522201330171,0.0886646045821341,0.0038463825872429025,0.008007457339988954,-0.17337857542148613,0,2025-01-31,2025-12-31,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,,,,
market_relative_return,1,CRS,ridge_full,calendar_year,2026,8,0.17176656334275214,0.13704259478247666,-0.15324269639891575,-0.014010439486989485,-0.0040163862909811075,0,2026-01-31,2026-08-31,0.5,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,zero,high_vol_regime,0,32,0.1469166280034406,0.11314936170540604,-0.05281077623668429,-0.047102583684679046,,0,2023-03-31,2026-08-31,0.0,0.53125,0.53125,32.0,,,,
market_relative_return,1,CRS,zero,high_vol_regime,1,12,0.12163884815283382,0.10016430725758718,-0.06169347654786028,-0.06383381197409282,,0,2023-01-31,2026-07-31,0.0,0.6666666666666666,0.6666666666666666,12.0,,,,
market_relative_return,1,CRS,zero,rate_rising_regime,0,16,0.11215693584373512,0.08324692754702645,-0.06313730518623584,-0.033471094042212324,,0,2023-02-28,2026-01-31,0.0,0.5,0.5,16.0,,,,
market_relative_return,1,CRS,zero,rate_rising_regime,1,28,0.15434066207101393,0.12467144360398628,-0.05207027624983085,-0.062062532747265926,,0,2023-01-31,2026-08-31,0.0,0.6071428571428571,0.6071428571428571,28.0,,,,
market_relative_return,1,CRS,zero,calendar_year,2023,12,0.12012295171844681,0.09976652162855759,-0.028323843734749055,-0.043885715656876205,,0,2023-01-31,2023-12-31,0.0,0.6666666666666666,0.6666666666666666,12.0,,,,
market_relative_return,1,CRS,zero,calendar_year,2024,12,0.16466878969705354,0.13114323508037354,-0.05112864873264433,-0.06837925369779131,,0,2024-01-31,2024-12-31,0.0,0.5,0.5,12.0,,,,
market_relative_return,1,CRS,zero,calendar_year,2025,12,0.11360085228054784,0.09105676650440254,-0.10082325527064961,-0.04563535589333521,,0,2025-01-31,2025-12-31,0.0,0.5833333333333334,0.5833333333333334,12.0,,,,
market_relative_return,1,CRS,zero,calendar_year,2026,8,0.16387881254896935,0.11989412288800438,-0.04975771897246872,-0.04731056482785135,,0,2026-01-31,2026-08-31,0.0,0.5,0.5,8.0,,,,
market_relative_return,1,ENTG,boost_full,high_vol_regime,0,32,0.13238395624491542,0.09565161868998867,0.0,-0.006353478499522178,-0.2211099542239183,0,2023-03-31,2026-08-31,0.40625,0.40625,0.40625,0.0,,,,
market_relative_return,1,ENTG,boost_full,high_vol_regime,1,12,0.14521133523077004,0.11782268316583282,0.0,0.03330982141628187,-0.22141407322652948,0,2023-01-31,2026-07-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,boost_full,rate_rising_regime,0,16,0.16315229187254585,0.12215415500041937,0.0,-0.008798485814805806,-0.06390495429048187,0,2023-02-28,2026-01-31,0.375,0.375,0.375,0.0,,,,
market_relative_return,1,ENTG,boost_full,rate_rising_regime,1,28,0.11770933282205738,0.09000919700224716,0.0,0.012042225644555914,-0.2835964239483547,0,2023-01-31,2026-08-31,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,,,,
market_relative_return,1,ENTG,boost_full,calendar_year,2023,12,0.13847456562678767,0.10409435417165014,0.0,-0.02462784456773297,-0.6662068951728458,0,2023-01-31,2023-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,boost_full,calendar_year,2024,12,0.0743079607627821,0.06335499526395744,0.0,0.047925355210936584,0.22842780589074602,0,2024-01-31,2024-12-31,0.25,0.25,0.25,0.0,,,,
market_relative_return,1,ENTG,boost_full,calendar_year,2025,12,0.0992275087431341,0.08095163219257041,0.0,0.031877213133243314,-0.4039583458280333,0,2025-01-31,2025-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,boost_full,calendar_year,2026,8,0.22342130612152497,0.18673902706643683,0.0,-0.05821126753833628,-0.8674829322779213,0,2026-01-31,2026-08-31,0.625,0.625,0.625,0.0,,,,
market_relative_return,1,ENTG,core_ridge,high_vol_regime,0,32,0.14064781746579985,0.09918063708126841,-0.12874355416480965,-0.015681700029205513,-0.2536079419694315,0,2023-03-31,2026-08-31,0.3125,0.40625,0.40625,0.0,,,,
market_relative_return,1,ENTG,core_ridge,high_vol_regime,1,12,0.1395606843287394,0.11802426002890681,0.07631233722358322,0.026930340764799835,0.347336215775125,0,2023-01-31,2026-07-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,core_ridge,rate_rising_regime,0,16,0.1637764219664871,0.12143038058830524,-0.007665523718846545,-0.014961261665741939,-0.0017797793229450166,0,2023-02-28,2026-01-31,0.3125,0.375,0.375,0.0,,,,
market_relative_return,1,ENTG,core_ridge,rate_rising_regime,1,28,0.12501151759822682,0.09454233634052096,-0.12791989877538024,0.0021689241033890157,-0.2364019814114678,0,2023-01-31,2026-08-31,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.0,,,,
market_relative_return,1,ENTG,core_ridge,calendar_year,2023,12,0.13958887609227053,0.109782116734318,-0.016158836263580056,-0.026092551497699446,-0.025762249674621943,0,2023-01-31,2023-12-31,0.25,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,core_ridge,calendar_year,2024,12,0.07424768708092314,0.06405767924132354,0.0016216092121749126,0.04082368139909009,-0.34475161663317744,0,2024-01-31,2024-12-31,0.16666666666666666,0.25,0.25,0.0,,,,
market_relative_return,1,ENTG,core_ridge,calendar_year,2025,12,0.0992275087431341,0.08095163219257041,0.0,0.031877213133243314,-0.4039583458280333,0,2025-01-31,2025-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
market_relative_return,1,ENTG,core_ridge,calendar_year,2026,8,0.23680625701535601,0.1915717961161159,-0.12340712495582529,-0.09224380352157324,-0.045413660520347225,0,2026-01-31,2026-08-31,0.625,0.625,0.625,0.0,,,,
market_relative_return,1,ENTG,historical_mean,high_vol_regime,0,32,0.13238395624491542,0.09565161868998867,0.0,-0.006353478499522178,-0.2211099542239183,0,2023-03-31,2026-08-31,0.40625,0.40625,0.40625,0.0,,,,
market_relative_return,1,ENTG,historical_mean,high_vol_regime,1,12,0.14521133523077004,0.11782268316583282,0.0,0.03330982141628187,-0.22141407322652948,0,2023-01-31,2026-07-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
