ticker,date,model,parameter,validation_mse,order
MTRN,2023-12-31,mine_inclusive_fcf,0.1,0.17835980533016224,
MTRN,2023-12-31,mine_inclusive_fcf,1.0,0.052115213346356416,
MTRN,2023-12-31,mine_inclusive_fcf,10.0,0.020334018559816303,
MTRN,2023-12-31,mine_inclusive_fcf,100.0,0.011479609564341645,
MTRN,2023-12-31,arimax,,0.010287184564484539,"[0, 0]"
MTRN,2023-12-31,arimax,,0.010295648231223897,"[1, 0]"
MTRN,2023-12-31,arimax,,0.009704963027271488,"[2, 0]"
MTRN,2023-12-31,arimax,,0.010313240874089094,"[0, 1]"
MTRN,2023-12-31,arimax,,0.023478287158802614,"[1, 1]"
MTRN,2024-12-31,core_ols,0,0.010512276084683752,
MTRN,2024-12-31,core_ridge,0.01,0.010512169477121344,
MTRN,2024-12-31,core_ridge,0.1,0.010511216648445806,
MTRN,2024-12-31,core_ridge,1.0,0.01050232451020274,
MTRN,2024-12-31,core_ridge,10.0,0.01046052113977866,
MTRN,2024-12-31,core_ridge,100.0,0.010776365629824092,
MTRN,2024-12-31,arx,0,0.010673715312593736,
MTRN,2024-12-31,ridge_full,0.01,0.2503210535995259,
MTRN,2024-12-31,ridge_full,0.1,0.1726390901483714,
MTRN,2024-12-31,ridge_full,1.0,0.055516103010325925,
MTRN,2024-12-31,ridge_full,10.0,0.022413086454469322,
MTRN,2024-12-31,ridge_full,100.0,0.01294596109322655,
MTRN,2024-12-31,lasso_full,0.01,0.029780423999250173,
MTRN,2024-12-31,lasso_full,0.1,0.011642284888595348,
MTRN,2024-12-31,lasso_full,1.0,0.011337649272117417,
MTRN,2024-12-31,lasso_full,10.0,0.011337649272117417,
MTRN,2024-12-31,lasso_full,100.0,0.011337649272117417,
MTRN,2024-12-31,elastic_full,"(0.01, 0.2)",0.0521322680778691,
MTRN,2024-12-31,elastic_full,"(0.01, 0.5)",0.0389152947770619,
MTRN,2024-12-31,elastic_full,"(0.01, 0.8)",0.031463872939268236,
MTRN,2024-12-31,elastic_full,"(0.1, 0.2)",0.020456264926237675,
MTRN,2024-12-31,elastic_full,"(0.1, 0.5)",0.014493410597033659,
MTRN,2024-12-31,elastic_full,"(0.1, 0.8)",0.012148941274698557,
MTRN,2024-12-31,elastic_full,"(1.0, 0.2)",0.011189978985147194,
MTRN,2024-12-31,elastic_full,"(1.0, 0.5)",0.011337649272117417,
MTRN,2024-12-31,elastic_full,"(1.0, 0.8)",0.011337649272117417,
MTRN,2024-12-31,elastic_full,"(10.0, 0.2)",0.011337649272117417,
MTRN,2024-12-31,elastic_full,"(10.0, 0.5)",0.011337649272117417,
MTRN,2024-12-31,elastic_full,"(10.0, 0.8)",0.011337649272117417,
MTRN,2024-12-31,elastic_full,"(100.0, 0.2)",0.011337649272117417,
MTRN,2024-12-31,elastic_full,"(100.0, 0.5)",0.011337649272117417,
MTRN,2024-12-31,elastic_full,"(100.0, 0.8)",0.011337649272117417,
MTRN,2024-12-31,forest_full,0,0.011435587345529139,
MTRN,2024-12-31,forest_full,1,0.011139228491494083,
MTRN,2024-12-31,boost_full,0,0.012251124433928137,
MTRN,2024-12-31,boost_full,1,0.011848076994637259,
MTRN,2024-12-31,distributed_lag1,0.01,0.010127882786538261,
MTRN,2024-12-31,distributed_lag1,0.1,0.010124629327014604,
MTRN,2024-12-31,distributed_lag1,1.0,0.010110315540693268,
MTRN,2024-12-31,distributed_lag1,10.0,0.010179524941966708,
MTRN,2024-12-31,distributed_lag1,100.0,0.010590178969861952,
MTRN,2024-12-31,distributed_lag3,0.01,0.010703109912459256,
MTRN,2024-12-31,distributed_lag3,0.1,0.010699003586817128,
MTRN,2024-12-31,distributed_lag3,1.0,0.010648270205597549,
MTRN,2024-12-31,distributed_lag3,10.0,0.010289222440002983,
MTRN,2024-12-31,distributed_lag3,100.0,0.010552762682255667,
MTRN,2024-12-31,ar1,0,0.011416481937367405,
MTRN,2024-12-31,A1_market,0.01,0.012546875680905505,
MTRN,2024-12-31,A1_market,0.1,0.013479877848146818,
MTRN,2024-12-31,A1_market,1.0,0.014150876732813606,
MTRN,2024-12-31,A1_market,10.0,0.013875445368158379,
MTRN,2024-12-31,A1_market,100.0,0.01235307060632425,
MTRN,2024-12-31,A2_financial,0.01,0.014210587939669525,
MTRN,2024-12-31,A2_financial,0.1,0.021632787231360435,
MTRN,2024-12-31,A2_financial,1.0,0.02103168178233129,
MTRN,2024-12-31,A2_financial,10.0,0.015495002563267636,
MTRN,2024-12-31,A2_financial,100.0,0.012564329428902038,
MTRN,2024-12-31,A3_valuation,0.01,0.03741186900493926,
MTRN,2024-12-31,A3_valuation,0.1,0.022708448738509662,
MTRN,2024-12-31,A3_valuation,1.0,0.016250517669971678,
MTRN,2024-12-31,A3_valuation,10.0,0.012218120964022429,
MTRN,2024-12-31,A3_valuation,100.0,0.01166534533531885,
MTRN,2024-12-31,A4_momentum,0.01,0.02938389872770268,
MTRN,2024-12-31,A4_momentum,0.1,0.02219233694117707,
