GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget
2020-05-14 11:42:42,Morgan Stanley,Equal-Weight,,main,Raises,46.0,43.0
2020-05-14 11:22:29,Raymond James,Outperform,,main,Raises,49.0,48.0
2020-04-17 08:48:35,Keybanc,Sector Weight,Overweight,down,,0.0,0.0
2020-04-14 12:08:09,MKM Partners,Neutral,,main,Lowers,40.0,48.0
2020-04-09 13:06:27,Credit Suisse,Neutral,,main,Lowers,40.0,45.0
2020-03-31 13:02:52,Wells Fargo,Overweight,,main,Lowers,50.0,58.0
2020-03-23 14:13:43,Nomura,Neutral,,main,Lowers,43.0,47.0
2020-03-19 13:04:49,Morgan Stanley,Equal-Weight,,main,Lowers,43.0,50.0
2020-02-13 14:01:52,Baird,Outperform,,main,Raises,55.0,52.0
2020-02-13 13:56:20,Nomura,Neutral,,main,Raises,47.0,45.0
2020-02-13 13:28:47,Credit Suisse,Neutral,,main,Lowers,45.0,46.0
2020-02-13 12:19:25,Raymond James,Outperform,,main,Lowers,54.0,55.0
2020-01-22 11:05:46,Keybanc,Overweight,,main,Raises,54.0,52.0
2020-01-08 12:16:26,B of A Securities,Neutral,Buy,down,,0.0,0.0
2019-12-19 11:12:35,Barclays,Overweight,Equal-Weight,up,Announces,53.0,0.0
2019-11-14 14:28:33,Citigroup,Buy,,main,Lowers,55.0,57.0
2019-11-14 14:05:43,JP Morgan,Overweight,,main,Lowers,58.0,62.0
2019-11-14 13:57:05,Baird,Outperform,,main,Lowers,52.0,54.0
2019-11-14 13:33:46,Morgan Stanley,Equal-Weight,,main,Lowers,48.0,49.0
2019-11-14 12:48:02,MKM Partners,Neutral,,main,Lowers,48.0,51.0
2019-11-14 12:41:26,B of A Securities,Buy,,main,Lowers,56.0,62.0
2019-11-14 12:39:34,Nomura,Neutral,,main,Lowers,45.0,47.0
2019-11-14 12:26:10,UBS,Buy,,main,Lowers,54.0,58.0
2019-11-14 12:13:24,Piper Sandler,Neutral,,main,Lowers,50.0,51.0
2019-11-14 12:11:57,Barclays,Equal-Weight,,main,Lowers,47.0,51.0
2019-11-14 12:10:52,Wells Fargo,Outperform,,main,Lowers,58.0,60.0
2019-11-14 10:55:44,Keybanc,Overweight,,main,Lowers,52.0,54.0
2019-11-11 11:27:29,Piper Sandler,Neutral,Overweight,down,Lowers,51.0,55.0
2019-11-05 12:33:14,Credit Suisse,Neutral,,main,Lowers,49.0,50.0
2019-10-17 10:11:09,Keybanc,Overweight,,main,Lowers,54.0,56.0
2019-10-10 10:20:54,Goldman Sachs,Neutral,Buy,down,Lowers,48.0,56.0
2019-09-11 10:54:13,Evercore ISI Group,Outperform,,init,Announces,60.0,0.0
2019-08-15 14:08:51,Morgan Stanley,Equal-Weight,,main,Lowers,49.0,51.0
2019-08-15 13:01:18,MKM Partners,Neutral,,main,Lowers,51.0,56.0
2019-08-15 12:21:23,Credit Suisse,Neutral,,main,Lowers,50.0,52.0
2019-08-15 12:01:05,Raymond James,Outperform,,main,Raises,59.0,58.0
2019-08-15 10:06:23,Keybanc,Overweight,,main,Lowers,56.0,60.0
2019-08-08 11:12:39,Barclays,Equal-Weight,,init,Announces,52.0,0.0
2019-07-30 13:56:39,Nomura,Neutral,,main,Raises,53.0,50.0
2019-06-12 10:51:10,William Blair,Market Perform,Outperform,down,,0.0,0.0
2019-05-16 13:23:30,Morgan Stanley,Equal-Weight,,main,Raises,51.0,49.0
2019-05-16 12:56:31,Credit Suisse,Neutral,,main,Raises,52.0,47.0
2019-04-16 12:21:03,Goldman Sachs,Buy,Buy,main,Raises,62.0,58.0
2019-03-25 14:50:52,Keybanc,Overweight,Overweight,main,Raises,58.0,55.0
2019-02-14 16:11:34,Credit Suisse,Neutral,Neutral,reit,Raises,47.0,44.0
2019-02-14 14:19:16,Keybanc,Overweight,Overweight,main,Raises,55.0,53.0
2019-02-14 14:10:05,Citigroup,Buy,Buy,main,Raises,56.0,52.0
2019-02-14 13:45:48,Wells Fargo,Outperform,Outperform,main,Raises,57.0,52.0
2019-02-12 11:50:19,Morgan Stanley,Equal-Weight,Overweight,down,Lowers,49.0,51.0
2018-12-14 11:29:45,Nomura,Neutral,Buy,down,Announces,50.0,0.0
2018-11-15 14:45:09,Raymond James,Outperform,Outperform,main,Raises,52.0,50.0
2018-11-15 14:36:20,Credit Suisse,Neutral,Neutral,main,Raises,44.0,43.0
2018-11-15 12:41:45,Deutsche Bank,Buy,Buy,main,Raises,60.0,55.0
2018-11-15 12:26:37,Keybanc,Overweight,Overweight,main,Raises,53.0,52.0
2018-09-04 11:34:55,Morgan Stanley,Overweight,Overweight,main,Raises,51.0,48.0
2018-08-16 13:22:52,BMO Capital,Market Perform,Market Perform,main,Raises,48.0,43.0
2018-08-16 13:08:01,Credit Suisse,Neutral,Neutral,main,Raises,43.0,41.0
2018-07-19 12:14:25,Morgan Stanley,Overweight,Overweight,main,Lowers,48.0,50.0
2018-05-10 10:20:42,Credit Suisse,Neutral,,init,Announces,41.0,0.0
2018-05-03 12:27:24,JP Morgan,Overweight,,init,Announces,57.0,0.0
2018-02-26 12:24:43,Morgan Stanley,Overweight,Overweight,main,Raises,50.0,46.0
2018-02-15 14:38:59,BMO Capital,Market Perform,Market Perform,main,Raises,43.0,36.0
2018-02-15 13:59:02,Deutsche Bank,Buy,Buy,main,Raises,55.0,52.0
2018-02-15 13:59:00,Stifel,Hold,Hold,main,Raises,46.0,40.0
2018-02-15 13:58:59,Keybanc,Overweight,Overweight,main,Raises,49.0,43.0
2018-02-13 13:29:20,Citigroup,Buy,Buy,main,Raises,46.0,40.0
2018-02-12 11:44:33,Nomura,Buy,Neutral,up,,0.0,33.0
