task,horizon,ticker,model,excluded_fallbacks,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
return,1,CRS,P1_financial,0,44,0.1612251161174065,0.12824115230489994,-0.22632841744810728,-0.020953954067869988,-0.18284742430971426,0,2023-01-31,2026-08-31,0.5227272727272727,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P2_valuation,0,44,0.16334796642083857,0.1313227404254761,-0.25883514607696667,-0.03707089161188213,-0.20345195143998163,0,2023-01-31,2026-08-31,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P3_transform,0,44,0.16412601346745567,0.1359356850905159,-0.270855688122432,-0.014872124669544896,-0.049848253386104074,0,2023-01-31,2026-08-31,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P4_market,0,44,0.15317258638221978,0.13033476024067972,-0.10688750943782832,-0.016330433120033197,-0.12970283162372273,0,2023-01-31,2026-08-31,0.5681818181818182,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P5_industry,0,44,0.15383297082375555,0.13118392268017484,-0.11645249822197146,-0.01778847037616853,-0.13159833969032572,0,2023-01-31,2026-08-31,0.5227272727272727,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P6_business,0,44,0.1519654719333593,0.12772579287525912,-0.08951005245480581,-0.02193864858921862,-0.0707234268941286,0,2023-01-31,2026-08-31,0.5,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,ar1,0,44,0.14371353777677862,0.11346300572746197,0.025601164265444232,-0.048760676149829436,0.21758067815052282,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,arimax,0,44,0.150673108208214,0.12728930935469343,-0.07105775505439582,-0.004666328067151406,-0.10175334637652395,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,arma_static,0,44,0.15060379426790124,0.1272501026447233,-0.07007254730097001,-0.007387878193263889,-0.12699595151587387,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,arx,0,44,0.1483688227505708,0.12530443221637225,-0.03854829452537456,-0.007973846564840082,-0.04667937372084731,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,boost_full,0,44,0.1471112238748862,0.11809317465911637,-0.021017092490781986,-0.04450686650655155,0.023960721904898303,0,2023-01-31,2026-08-31,0.5,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,business_pair_ridge,0,44,0.14685916717332972,0.12227888280194747,-0.017521319406184288,-0.017455437138752937,0.021054384894039907,0,2023-01-31,2026-08-31,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,capm_style,0,44,0.1462926746574587,0.11720543290859417,-0.009686514273553382,-0.03979418164219745,-0.10073501222861743,0,2023-01-31,2026-08-31,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,claims_proxy_sensitivity,0,44,0.1519929670111288,0.1276982435431884,-0.0899043377253037,-0.023398140688819347,-0.07007436305657967,0,2023-01-31,2026-08-31,0.5227272727272727,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_financial_changes,0,44,0.14793057689164038,0.11956348941356168,-0.0324221112128118,-0.04843532418770911,-0.0005621902214470754,0,2023-01-31,2026-08-31,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_ols,0,44,0.15060378791938944,0.12725011234949027,-0.07007245708587195,-0.007387784610220669,-0.1269961892432317,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_pe_difference,0,44,0.14902762406057535,0.12020934238191434,-0.04779169192327104,-0.03953432379626593,-0.0730631543046896,0,2023-01-31,2026-08-31,0.6818181818181818,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_pe_lag1,0,44,0.14888499915845824,0.11888241278254331,-0.04578710145767739,-0.04683913588851221,-0.10026845342113704,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_pe_level,0,44,0.15000554405749628,0.12133460364233285,-0.06158803813664182,-0.03793072451067664,-0.09683269071099733,0,2023-01-31,2026-08-31,0.6818181818181818,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_pe_percentage,0,44,0.14959480922007184,0.12090148669833795,-0.05578246291311384,-0.03948190274942597,-0.09364921300270805,0,2023-01-31,2026-08-31,0.6590909090909091,0.6363636363636364,0.6363636363636364,0.0,,,,
