task,horizon,ticker,model,regime,value,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
excess_return,1,ENTG,core_ridge,calendar_year,2025,12,0.09058775899444793,0.07165083745641394,0.166559009456404,0.008863427662625375,0.26524860623063706,0,2025-01-31,2025-12-31,0.5,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,core_ridge,calendar_year,2026,8,0.23682686182991702,0.19158004241853713,-0.12360263163566487,-0.0922837051424279,-0.04538763586881574,0,2026-01-31,2026-08-31,0.625,0.625,0.625,0.0,,,,
excess_return,1,ENTG,historical_mean,high_vol_regime,0,32,0.13238395624491542,0.09565161868998867,0.0,-0.006353478499522178,-0.2211099542239183,0,2023-03-31,2026-08-31,0.40625,0.40625,0.40625,0.0,,,,
excess_return,1,ENTG,historical_mean,high_vol_regime,1,12,0.14521133523077004,0.11782268316583282,0.0,0.03330982141628187,-0.22141407322652948,0,2023-01-31,2026-07-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,historical_mean,rate_rising_regime,0,16,0.16315229187254585,0.12215415500041937,0.0,-0.008798485814805806,-0.06390495429048187,0,2023-02-28,2026-01-31,0.375,0.375,0.375,0.0,,,,
excess_return,1,ENTG,historical_mean,rate_rising_regime,1,28,0.11770933282205738,0.09000919700224716,0.0,0.012042225644555914,-0.2835964239483547,0,2023-01-31,2026-08-31,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,,,,
excess_return,1,ENTG,historical_mean,calendar_year,2023,12,0.13847456562678767,0.10409435417165014,0.0,-0.02462784456773297,-0.6662068951728458,0,2023-01-31,2023-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,historical_mean,calendar_year,2024,12,0.0743079607627821,0.06335499526395744,0.0,0.047925355210936584,0.22842780589074602,0,2024-01-31,2024-12-31,0.25,0.25,0.25,0.0,,,,
excess_return,1,ENTG,historical_mean,calendar_year,2025,12,0.0992275087431341,0.08095163219257041,0.0,0.031877213133243314,-0.4039583458280333,0,2025-01-31,2025-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,historical_mean,calendar_year,2026,8,0.22342130612152497,0.18673902706643683,0.0,-0.05821126753833628,-0.8674829322779213,0,2026-01-31,2026-08-31,0.625,0.625,0.625,0.0,,,,
excess_return,1,ENTG,ridge_full,high_vol_regime,0,32,0.1361109885536777,0.09849149545133826,-0.057099007513520705,-0.01812659857285709,0.002719673704310003,0,2023-03-31,2026-08-31,0.46875,0.40625,0.40625,0.0,,,,
excess_return,1,ENTG,ridge_full,high_vol_regime,1,12,0.14614350357099135,0.11892358600018159,-0.01287999060497036,0.01955123495765177,-0.09531167330667568,0,2023-01-31,2026-07-31,0.5,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,ridge_full,rate_rising_regime,0,16,0.16335403652095384,0.12065122933726423,-0.0024746128779269405,-0.023976390177842588,0.12201276075399595,0,2023-02-28,2026-01-31,0.5,0.375,0.375,0.0,,,,
excess_return,1,ENTG,ridge_full,rate_rising_regime,1,28,0.12279205160277605,0.09458540060888486,-0.0882250404086844,0.0013637824287812826,-0.09799328998123262,0,2023-01-31,2026-08-31,0.4642857142857143,0.42857142857142855,0.42857142857142855,0.0,,,,
excess_return,1,ENTG,ridge_full,calendar_year,2023,12,0.1456548830431288,0.11462727996290123,-0.10639466926927832,-0.03196728484562472,-0.12670794483951792,0,2023-01-31,2023-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,ridge_full,calendar_year,2024,12,0.08201583498066152,0.0679582570034464,-0.21821722287994638,0.03441509811409161,-0.2548185157173775,0,2024-01-31,2024-12-31,0.4166666666666667,0.25,0.25,0.0,,,,
excess_return,1,ENTG,ridge_full,calendar_year,2025,12,0.10113077246258419,0.08090111057652345,-0.03872951787395862,0.016463610096694666,-0.2580942093116041,0,2025-01-31,2025-12-31,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,ridge_full,calendar_year,2026,8,0.22110546658348743,0.17712138949131878,0.020623255113228267,-0.07154667690269303,0.25289297420322304,0,2026-01-31,2026-08-31,0.75,0.625,0.625,0.0,,,,
excess_return,1,ENTG,zero,high_vol_regime,0,32,0.13305728197914676,0.09190059638006116,-0.010198185247739966,-0.02038419776715025,,0,2023-03-31,2026-08-31,0.0,0.40625,0.40625,32.0,,,,
excess_return,1,ENTG,zero,high_vol_regime,1,12,0.14225245434554565,0.11498508916524965,0.040337556908052186,0.020767292762230372,,0,2023-01-31,2026-07-31,0.0,0.4166666666666667,0.4166666666666667,12.0,,,,
excess_return,1,ENTG,zero,rate_rising_regime,0,16,0.16410779305990253,0.11828280952727449,-0.011747296002954988,-0.021758980738739546,,0,2023-02-28,2026-01-31,0.0,0.375,0.375,16.0,,,,
excess_return,1,ENTG,zero,rate_rising_regime,1,28,0.11626062693759154,0.08671840006102004,0.024463496423807962,-0.0019622544136503775,,0,2023-01-31,2026-08-31,0.0,0.42857142857142855,0.42857142857142855,28.0,,,,
excess_return,1,ENTG,zero,calendar_year,2023,12,0.1414513693897614,0.10047619510614923,-0.04345635744519871,-0.041022976562196105,,0,2023-01-31,2023-12-31,0.0,0.4166666666666667,0.4166666666666667,12.0,,,,
