task,horizon,ticker,expanded,reduced,n,metric,mean_loss_reduction,lo,hi,block,replications,pvalue,interpretation
return,1,ATI,A7_business,A6_industry,44,MSE,0.0006249403918855757,-0.0012992876214932337,0.0027921251818391712,3,2000,0.5402298850574713,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A7_business,A6_industry,44,MSE,0.0006249403918855757,-0.0006526826050385278,0.002524761958372247,6,2000,0.43928035982008995,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A7_business,A6_industry,44,MSE,0.0006249403918855757,-0.0002866215483818082,0.001971869956945549,12,2000,0.2733633183408296,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A8_transform,A7_business,44,MSE,0.00021654142338099912,-0.0005041841062413678,0.0010250240847185965,3,2000,0.5652173913043478,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A8_transform,A7_business,44,MSE,0.00021654142338099912,-0.00048174775193716914,0.0008243759195198859,6,2000,0.5162418790604698,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A8_transform,A7_business,44,MSE,0.00021654142338099912,-0.0004993758886674933,0.0004291976354651214,12,2000,0.3758120939530235,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A9_interaction,A8_transform,44,MSE,2.6198708580018505e-05,-6.43669115750469e-05,0.00011495218572651912,3,2000,0.5352323838080959,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A9_interaction,A8_transform,44,MSE,2.6198708580018505e-05,-7.383468707925289e-05,7.108408887464531e-05,6,2000,0.49775112443778113,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A9_interaction,A8_transform,44,MSE,2.6198708580018505e-05,-7.034173698660427e-05,5.699640173080964e-05,12,2000,0.4407796101949025,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,financial_valuation,financial_only,44,MSE,-0.00015405540828752773,-0.000779360401280298,0.0005346193649069107,3,2000,0.6316841579210395,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,financial_valuation,financial_only,44,MSE,-0.00015405540828752773,-0.0007430230602500391,0.00042095944825624207,6,2000,0.6046976511744128,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,financial_valuation,financial_only,44,MSE,-0.00015405540828752773,-0.0005593457435836845,0.00017213760393748487,12,2000,0.4367816091954023,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_valuation,44,MSE,0.004319956815401726,-0.0002943759121861569,0.012190959376325087,3,2000,0.17641179410294852,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_valuation,44,MSE,0.004319956815401726,-0.00024120958844409948,0.012217998243573273,6,2000,0.21539230384807595,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_valuation,44,MSE,0.004319956815401726,-0.00040437218551527833,0.011649533303863636,12,2000,0.27436281859070466,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_financial,44,MSE,-0.0008041516858223539,-0.0020073197583341724,0.0004253761052987789,3,2000,0.20689655172413793,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_financial,44,MSE,-0.0008041516858223539,-0.0019853159586304876,0.00019934119001109859,6,2000,0.16041979010494753,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_financial,44,MSE,-0.0008041516858223539,-0.0019326831220724825,-7.235716247029427e-05,12,2000,0.08995502248875563,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_market,44,MSE,4.152368224219477e-05,-0.000990679303713896,0.0010569660764137103,3,2000,0.9380309845077461,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_market,44,MSE,4.152368224219477e-05,-0.0008416289122103821,0.0009991997481388112,6,2000,0.9250374812593704,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_market,44,MSE,4.152368224219477e-05,-0.0008434936883445624,0.0009141474361275955,12,2000,0.9315342328835582,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_industry,44,MSE,0.002226811206510168,-0.00072416808876711,0.0074199666388376825,3,2000,0.39280359820089955,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_industry,44,MSE,0.002226811206510168,-0.0008023138107654594,0.007510371798200012,6,2000,0.4447776111944028,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_industry,44,MSE,0.002226811206510168,-0.0005733023888755249,0.0072055526144812025,12,2000,0.3408295852073963,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_business,44,MSE,0.0007347843303662269,-0.0010887542577429072,0.0027246833849196403,3,2000,0.4397801099450275,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_business,44,MSE,0.0007347843303662269,-0.0005431037778497917,0.002436963289751341,6,2000,0.33483258370814595,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,ridge_full,without_business,44,MSE,0.0007347843303662269,-0.0001856949095374297,0.0019832893455117117,12,2000,0.18140929535232383,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,arimax,arma_static,44,MSE,0.0005568608025726128,-0.0006490137987281914,0.0019708634855542537,3,2000,0.42978510744627685,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,arimax,arma_static,44,MSE,0.0005568608025726128,-0.0005058659775145738,0.0019665597310366957,6,2000,0.4622688655672164,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,arimax,arma_static,44,MSE,0.0005568608025726128,-0.0005341698236499576,0.0011822940223142752,12,2000,0.1904047976011994,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,distributed_lag1,core_ridge,44,MSE,-0.00042686280994385197,-0.0009192813764590708,-1.962602218256582e-05,3,2000,0.057971014492753624,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,distributed_lag1,core_ridge,44,MSE,-0.00042686280994385197,-0.0009071549146161126,-0.00014342496283866387,6,2000,0.031484257871064465,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
